Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE","District 15 Estimate","District 15 MOE","District 16 Estimate","District 16 MOE","District 17 Estimate","District 17 MOE","District 18 Estimate","District 18 MOE","District 19 Estimate","District 19 MOE","District 20 Estimate","District 20 MOE","District 21 Estimate","District 21 MOE","District 22 Estimate","District 22 MOE","District 23 Estimate","District 23 MOE","District 24 Estimate","District 24 MOE","District 25 Estimate","District 25 MOE","District 26 Estimate","District 26 MOE","District 27 Estimate","District 27 MOE","District 28 Estimate","District 28 MOE"
Housing,"Year Householder Moved into Unit","Occupied housing units","313,679","(+/-4,679)","324,866","(+/-4,606)","324,707","(+/-5,837)","319,979","(+/-6,307)","345,277","(+/-6,140)","348,488","(+/-7,481)","317,277","(+/-5,218)","332,491","(+/-4,235)","306,379","(+/-7,284)","305,771","(+/-6,690)","332,783","(+/-6,932)","339,317","(+/-4,566)","346,729","(+/-5,196)","340,940","(+/-8,018)","306,380","(+/-7,959)","340,686","(+/-6,998)","367,910","(+/-6,727)","323,342","(+/-5,250)","341,735","(+/-5,823)","292,780","(+/-7,021)","334,555","(+/-6,052)","306,693","(+/-5,322)","329,284","(+/-9,152)","291,265","(+/-6,344)","290,456","(+/-6,250)","285,495","(+/-6,306)","301,386","(+/-6,521)","255,752","(+/-5,743)"
Housing,"Year Householder Moved into Unit","Moved in 2021 or later","96,815","(+/-5,615)","102,269","(+/-5,616)","104,645","(+/-5,924)","100,622","(+/-5,476)","122,093","(+/-6,668)","90,501","(+/-5,395)","92,355","(+/-5,351)","80,780","(+/-4,702)","100,101","(+/-6,269)","112,575","(+/-5,827)","93,974","(+/-6,004)","82,789","(+/-4,668)","92,246","(+/-5,024)","119,458","(+/-6,289)","92,812","(+/-6,047)","104,419","(+/-5,360)","102,706","(+/-5,154)","90,913","(+/-5,258)","98,534","(+/-5,558)","83,792","(+/-5,811)","87,486","(+/-5,441)","81,872","(+/-5,614)","106,238","(+/-6,755)","94,043","(+/-5,272)","79,745","(+/-5,858)","88,533","(+/-5,133)","101,023","(+/-5,754)","59,007","(+/-4,247)"
Housing,"Year Householder Moved into Unit","Moved in 2018 to 2020","66,142","(+/-4,721)","65,239","(+/-5,007)","61,372","(+/-4,345)","59,420","(+/-5,507)","73,990","(+/-5,876)","74,927","(+/-4,919)","64,733","(+/-4,789)","66,879","(+/-4,542)","77,449","(+/-6,122)","67,112","(+/-5,144)","77,045","(+/-5,467)","81,643","(+/-5,682)","73,890","(+/-3,994)","72,908","(+/-5,490)","68,971","(+/-4,916)","82,460","(+/-5,538)","78,784","(+/-5,615)","71,660","(+/-5,395)","75,332","(+/-4,266)","61,839","(+/-5,143)","71,000","(+/-5,409)","63,886","(+/-4,671)","66,819","(+/-5,556)","55,092","(+/-4,773)","60,792","(+/-4,249)","53,031","(+/-3,690)","56,624","(+/-4,258)","57,697","(+/-4,153)"
Housing,"Year Householder Moved into Unit","Moved in 2010 to 2017","67,250","(+/-4,464)","62,686","(+/-3,661)","67,464","(+/-4,698)","63,276","(+/-4,938)","68,128","(+/-4,457)","85,524","(+/-4,854)","69,070","(+/-4,732)","79,915","(+/-4,138)","65,229","(+/-5,289)","57,566","(+/-4,740)","84,699","(+/-6,352)","80,525","(+/-4,692)","81,338","(+/-4,597)","68,903","(+/-4,787)","69,062","(+/-4,799)","79,067","(+/-4,900)","95,251","(+/-5,163)","75,381","(+/-4,383)","90,821","(+/-4,472)","64,960","(+/-5,330)","81,371","(+/-4,796)","79,699","(+/-4,739)","68,099","(+/-4,481)","62,632","(+/-4,929)","65,122","(+/-5,165)","66,060","(+/-4,139)","59,909","(+/-4,702)","58,355","(+/-4,055)"
Housing,"Year Householder Moved into Unit","Moved in 2000 to 2009","39,482","(+/-4,173)","44,940","(+/-3,502)","47,771","(+/-4,059)","47,298","(+/-4,075)","41,793","(+/-3,581)","56,209","(+/-4,072)","45,189","(+/-3,600)","54,338","(+/-3,709)","39,068","(+/-3,335)","33,870","(+/-3,157)","51,095","(+/-3,605)","57,317","(+/-3,838)","47,995","(+/-3,609)","31,739","(+/-3,751)","38,932","(+/-3,040)","46,815","(+/-4,609)","52,388","(+/-3,654)","45,393","(+/-3,954)","49,767","(+/-3,621)","45,114","(+/-3,926)","52,187","(+/-3,868)","49,614","(+/-3,612)","45,734","(+/-4,274)","35,817","(+/-3,346)","49,177","(+/-3,974)","40,666","(+/-2,812)","38,192","(+/-3,258)","40,565","(+/-3,107)"
Housing,"Year Householder Moved into Unit","Moved in 1990 to 1999","24,719","(+/-2,368)","26,876","(+/-2,803)","23,708","(+/-2,464)","24,686","(+/-2,201)","24,759","(+/-2,766)","24,028","(+/-2,419)","29,621","(+/-2,764)","29,795","(+/-3,085)","17,771","(+/-2,719)","20,205","(+/-2,187)","16,258","(+/-2,114)","25,684","(+/-2,320)","29,217","(+/-2,467)","27,063","(+/-2,854)","22,544","(+/-2,814)","16,702","(+/-1,816)","25,334","(+/-2,558)","23,746","(+/-2,262)","18,872","(+/-2,452)","21,699","(+/-2,821)","26,916","(+/-2,732)","21,081","(+/-2,552)","28,293","(+/-2,462)","23,770","(+/-2,462)","25,128","(+/-2,752)","23,498","(+/-2,735)","23,390","(+/-2,582)","27,774","(+/-2,736)"
Housing,"Year Householder Moved into Unit","Moved in 1989 and earlier","19,271","(+/-1,957)","22,856","(+/-2,005)","19,747","(+/-2,332)","24,677","(+/-2,162)","14,514","(+/-1,897)","17,299","(+/-2,394)","16,309","(+/-2,111)","20,784","(+/-2,022)","6,761","(+/-1,658)","14,443","(+/-2,026)","9,712","(+/-1,805)","11,359","(+/-1,829)","22,043","(+/-2,239)","20,869","(+/-2,483)","14,059","(+/-1,704)","11,223","(+/-1,815)","13,447","(+/-1,888)","16,249","(+/-1,872)","8,409","(+/-1,647)","15,376","(+/-2,261)","15,595","(+/-2,255)","10,541","(+/-1,696)","14,101","(+/-1,804)","19,911","(+/-2,293)","10,492","(+/-1,626)","13,707","(+/-1,795)","22,248","(+/-2,156)","12,354","(+/-1,670)"
Housing,Value,"Owner-occupied units","225,938","(+/-5,305)","209,953","(+/-5,390)","223,344","(+/-6,093)","213,115","(+/-5,846)","225,212","(+/-6,016)","264,739","(+/-6,539)","222,183","(+/-5,405)","257,380","(+/-5,930)","196,260","(+/-6,688)","147,233","(+/-4,769)","260,475","(+/-6,038)","270,673","(+/-5,307)","250,159","(+/-5,325)","188,513","(+/-6,330)","193,439","(+/-6,264)","256,677","(+/-6,834)","287,988","(+/-5,758)","238,268","(+/-6,031)","257,611","(+/-6,153)","175,979","(+/-5,630)","264,679","(+/-5,694)","221,409","(+/-6,780)","219,248","(+/-6,797)","151,827","(+/-5,184)","191,069","(+/-6,338)","163,409","(+/-4,521)","156,249","(+/-5,134)","170,400","(+/-6,003)"
Housing,Value,"Less than $50,000","10,511","(+/-2,232)","16,694","(+/-2,070)","16,939","(+/-2,375)","10,812","(+/-1,683)","6,800","(+/-1,638)","19,669","(+/-2,355)","9,789","(+/-1,974)","10,589","(+/-1,728)","7,763","(+/-1,681)","5,180","(+/-1,318)","14,057","(+/-2,325)","17,671","(+/-2,108)","16,680","(+/-2,279)","9,598","(+/-1,825)","12,579","(+/-1,668)","12,990","(+/-2,034)","8,830","(+/-1,555)","23,068","(+/-2,418)","7,342","(+/-1,322)","7,183","(+/-1,401)","10,217","(+/-2,053)","7,215","(+/-1,207)","5,321","(+/-1,272)","5,769","(+/-1,175)","5,796","(+/-1,457)","6,026","(+/-1,477)","3,459",(+/-898),"5,373","(+/-1,394)"
Housing,Value,"$50,000 to $99,999","7,473","(+/-1,481)","15,921","(+/-2,122)","18,188","(+/-2,275)","11,103","(+/-2,119)","3,156","(+/-1,110)","17,071","(+/-2,327)","5,493","(+/-1,394)","7,472","(+/-1,197)","4,360","(+/-1,369)","3,402",(+/-978),"9,773","(+/-2,184)","12,340","(+/-1,987)","11,444","(+/-1,331)","5,191","(+/-1,256)","12,930","(+/-2,206)","8,552","(+/-1,704)","9,113","(+/-1,695)","20,899","(+/-2,293)","4,508","(+/-1,123)","6,319","(+/-1,503)","7,077","(+/-1,531)","5,877","(+/-1,035)","5,699","(+/-1,659)","2,586",(+/-951),"4,293","(+/-1,530)","2,314",(+/-660),"2,252",(+/-854),"3,717","(+/-1,073)"
Housing,Value,"$100,000 to $149,999","8,549","(+/-1,607)","18,811","(+/-2,292)","17,090","(+/-2,391)","9,748","(+/-1,628)","6,604","(+/-1,961)","14,811","(+/-1,961)","6,561","(+/-1,409)","9,485","(+/-1,650)","5,196","(+/-1,457)","5,042","(+/-1,552)","7,101","(+/-1,466)","15,380","(+/-2,563)","11,659","(+/-1,713)","3,683",(+/-951),"5,624","(+/-1,087)","9,053","(+/-1,469)","9,151","(+/-1,538)","17,491","(+/-2,072)","6,867","(+/-1,320)","11,205","(+/-2,259)","6,807","(+/-1,346)","9,196","(+/-1,846)","6,607","(+/-1,542)","3,490",(+/-935),"5,625","(+/-1,549)","2,721",(+/-978),"2,235","(+/-1,120)","1,450",(+/-822)
Housing,Value,"$150,000 to $199,999","18,349","(+/-2,685)","23,768","(+/-2,920)","26,694","(+/-2,882)","19,305","(+/-2,832)","8,208","(+/-1,769)","21,052","(+/-2,569)","8,495","(+/-1,589)","16,180","(+/-2,466)","7,904","(+/-2,649)","7,090","(+/-1,647)","9,021","(+/-1,603)","22,459","(+/-2,567)","14,914","(+/-1,741)","7,356","(+/-1,375)","10,528","(+/-1,911)","10,798","(+/-1,945)","14,036","(+/-1,948)","24,316","(+/-2,928)","8,396","(+/-1,479)","13,368","(+/-2,527)","9,170","(+/-1,696)","11,703","(+/-1,891)","9,419","(+/-1,548)","4,711","(+/-1,337)","7,713","(+/-1,869)","5,567","(+/-1,336)","2,169",(+/-727),"4,175","(+/-1,252)"
Housing,Value,"$200,000 to $299,999","50,376","(+/-3,848)","41,550","(+/-3,491)","51,314","(+/-3,997)","49,871","(+/-3,756)","31,978","(+/-3,145)","58,397","(+/-4,380)","40,552","(+/-3,558)","49,953","(+/-3,668)","34,530","(+/-4,099)","26,914","(+/-2,940)","31,995","(+/-3,617)","61,206","(+/-4,037)","35,286","(+/-2,669)","25,448","(+/-3,006)","28,053","(+/-3,097)","31,897","(+/-3,884)","44,464","(+/-3,943)","53,511","(+/-3,904)","30,538","(+/-2,960)","32,608","(+/-3,050)","31,143","(+/-3,640)","28,195","(+/-2,725)","20,879","(+/-2,448)","20,329","(+/-2,615)","18,691","(+/-2,704)","13,136","(+/-1,804)","12,002","(+/-1,925)","11,006","(+/-1,828)"
Housing,Value,"$300,000 to $499,999","85,256","(+/-4,643)","60,242","(+/-3,370)","67,984","(+/-5,176)","82,409","(+/-4,696)","81,530","(+/-5,369)","84,255","(+/-4,084)","92,981","(+/-5,382)","95,945","(+/-4,691)","93,032","(+/-5,797)","58,240","(+/-4,303)","106,269","(+/-4,836)","93,057","(+/-5,229)","85,315","(+/-4,009)","65,373","(+/-4,627)","73,210","(+/-4,508)","101,557","(+/-5,551)","104,963","(+/-4,876)","74,173","(+/-4,759)","89,129","(+/-3,991)","68,323","(+/-4,686)","95,366","(+/-5,793)","65,302","(+/-4,383)","49,434","(+/-4,380)","56,177","(+/-4,414)","53,857","(+/-4,817)","59,974","(+/-3,682)","37,160","(+/-3,194)","60,747","(+/-4,030)"
Housing,Value,"$500,000 to $999,999","36,338","(+/-3,494)","25,045","(+/-2,795)","22,646","(+/-2,335)","25,280","(+/-2,143)","68,741","(+/-4,813)","43,449","(+/-3,447)","51,470","(+/-3,564)","55,563","(+/-3,437)","38,460","(+/-3,811)","32,385","(+/-2,980)","70,816","(+/-4,927)","43,586","(+/-3,344)","57,892","(+/-3,352)","52,883","(+/-3,847)","43,235","(+/-3,293)","70,419","(+/-5,112)","74,785","(+/-4,378)","21,849","(+/-2,253)","73,679","(+/-4,237)","33,215","(+/-2,923)","77,675","(+/-4,138)","68,904","(+/-4,022)","86,381","(+/-5,751)","36,576","(+/-3,214)","78,137","(+/-4,615)","60,730","(+/-3,825)","62,785","(+/-3,914)","69,357","(+/-4,521)"
Housing,Value,"$1,000,000 or more","9,086","(+/-1,376)","7,922","(+/-1,761)","2,489",(+/-876),"4,587",(+/-966),"18,195","(+/-2,413)","6,035","(+/-1,361)","6,842","(+/-1,444)","12,193","(+/-1,653)","5,015","(+/-1,890)","8,980","(+/-1,486)","11,443","(+/-1,739)","4,974","(+/-1,260)","16,969","(+/-2,164)","18,981","(+/-2,201)","7,280","(+/-1,476)","11,411","(+/-1,537)","22,646","(+/-2,190)","2,961",(+/-796),"37,152","(+/-2,745)","3,758","(+/-1,464)","27,224","(+/-2,071)","25,017","(+/-2,200)","35,508","(+/-3,293)","22,189","(+/-2,473)","16,957","(+/-2,294)","12,941","(+/-1,804)","34,187","(+/-2,767)","14,575","(+/-1,688)"
Housing,Value,"Median (dollars)","332,600","(+/-7,001)","272,400","(+/-7,954)","263,900","(+/-9,278)","310,300","(+/-7,521)","433,900","(+/-10,869)","302,600","(+/-8,258)","375,300","(+/-7,419)","359,800","(+/-6,221)","373,400","(+/-7,842)","373,200","(+/-9,070)","400,500","(+/-9,360)","310,600","(+/-7,774)","377,700","(+/-8,818)","417,000","(+/-12,208)","362,000","(+/-7,520)","402,200","(+/-9,430)","397,700","(+/-7,249)","263,700","(+/-6,935)","454,800","(+/-9,262)","345,400","(+/-9,019)","438,400","(+/-8,508)","448,600","(+/-10,432)","550,200","(+/-15,937)","446,900","(+/-8,876)","498,500","(+/-17,216)","476,000","(+/-8,145)","611,900","(+/-14,865)","496,200","(+/-11,854)"
Housing,"Mortgage Status","Owner-occupied units","225,938","(+/-5,305)","209,953","(+/-5,390)","223,344","(+/-6,093)","213,115","(+/-5,846)","225,212","(+/-6,016)","264,739","(+/-6,539)","222,183","(+/-5,405)","257,380","(+/-5,930)","196,260","(+/-6,688)","147,233","(+/-4,769)","260,475","(+/-6,038)","270,673","(+/-5,307)","250,159","(+/-5,325)","188,513","(+/-6,330)","193,439","(+/-6,264)","256,677","(+/-6,834)","287,988","(+/-5,758)","238,268","(+/-6,031)","257,611","(+/-6,153)","175,979","(+/-5,630)","264,679","(+/-5,694)","221,409","(+/-6,780)","219,248","(+/-6,797)","151,827","(+/-5,184)","191,069","(+/-6,338)","163,409","(+/-4,521)","156,249","(+/-5,134)","170,400","(+/-6,003)"
Housing,"Mortgage Status","Housing units with a mortgage","136,367","(+/-5,164)","110,923","(+/-4,793)","111,881","(+/-4,784)","132,713","(+/-5,670)","149,741","(+/-6,016)","131,126","(+/-6,197)","140,706","(+/-5,132)","133,334","(+/-4,977)","129,218","(+/-6,648)","91,335","(+/-4,752)","151,249","(+/-6,785)","147,754","(+/-6,110)","121,438","(+/-4,901)","112,793","(+/-5,582)","113,531","(+/-5,316)","146,358","(+/-6,655)","137,165","(+/-5,442)","119,463","(+/-6,487)","128,312","(+/-5,051)","107,480","(+/-5,735)","139,377","(+/-5,894)","113,172","(+/-6,231)","116,737","(+/-5,126)","81,179","(+/-5,061)","112,231","(+/-5,084)","91,785","(+/-4,589)","89,190","(+/-5,160)","102,779","(+/-5,622)"
Housing,"Mortgage Status","Housing units without a mortgage","89,571","(+/-4,532)","99,030","(+/-4,223)","111,463","(+/-5,551)","80,402","(+/-3,905)","75,471","(+/-4,317)","133,613","(+/-6,181)","81,477","(+/-4,636)","124,046","(+/-5,248)","67,042","(+/-4,950)","55,898","(+/-3,805)","109,226","(+/-4,795)","122,919","(+/-4,460)","128,721","(+/-4,754)","75,720","(+/-4,315)","79,908","(+/-4,119)","110,319","(+/-4,552)","150,823","(+/-4,522)","118,805","(+/-4,606)","129,299","(+/-5,061)","68,499","(+/-4,545)","125,302","(+/-5,738)","108,237","(+/-4,734)","102,511","(+/-5,576)","70,648","(+/-4,431)","78,838","(+/-4,709)","71,624","(+/-3,720)","67,059","(+/-3,814)","67,621","(+/-4,262)"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units with a mortgage","136,367","(+/-5,164)","110,923","(+/-4,793)","111,881","(+/-4,784)","132,713","(+/-5,670)","149,741","(+/-6,016)","131,126","(+/-6,197)","140,706","(+/-5,132)","133,334","(+/-4,977)","129,218","(+/-6,648)","91,335","(+/-4,752)","151,249","(+/-6,785)","147,754","(+/-6,110)","121,438","(+/-4,901)","112,793","(+/-5,582)","113,531","(+/-5,316)","146,358","(+/-6,655)","137,165","(+/-5,442)","119,463","(+/-6,487)","128,312","(+/-5,051)","107,480","(+/-5,735)","139,377","(+/-5,894)","113,172","(+/-6,231)","116,737","(+/-5,126)","81,179","(+/-5,061)","112,231","(+/-5,084)","91,785","(+/-4,589)","89,190","(+/-5,160)","102,779","(+/-5,622)"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $500","1,413",(+/-685),909,(+/-523),"1,464",(+/-554),"2,474","(+/-1,045)","1,487",(+/-934),"1,793",(+/-729),"1,216",(+/-669),"1,050",(+/-728),409,(+/-288),543,(+/-394),"1,306",(+/-807),"2,388",(+/-886),758,(+/-409),"1,092",(+/-526),936,(+/-542),922,(+/-469),"1,020",(+/-620),"1,106",(+/-542),535,(+/-354),926,(+/-588),531,(+/-357),428,(+/-256),407,(+/-321),562,(+/-434),245,(+/-265),488,(+/-369),473,(+/-234),592,(+/-437)
Housing,"Selected Monthly Owner Costs(SMOC)","$500 to $999","11,160","(+/-1,759)","14,348","(+/-1,940)","17,923","(+/-2,408)","15,678","(+/-2,055)","7,685","(+/-1,229)","22,379","(+/-2,844)","11,546","(+/-1,833)","11,057","(+/-1,549)","8,401","(+/-2,051)","6,186","(+/-1,707)","12,850","(+/-2,524)","21,216","(+/-2,591)","9,941","(+/-1,719)","6,704","(+/-1,444)","7,814","(+/-1,252)","9,412","(+/-2,232)","10,023","(+/-1,869)","14,870","(+/-2,274)","7,198","(+/-1,617)","6,606","(+/-1,493)","7,667","(+/-1,829)","4,459","(+/-1,088)","3,022","(+/-1,136)","2,405",(+/-719),"2,198",(+/-961),"6,334","(+/-1,430)","2,498",(+/-775),"3,412","(+/-1,035)"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 to $1,499","32,869","(+/-3,173)","33,624","(+/-2,963)","36,760","(+/-3,400)","32,436","(+/-3,739)","26,536","(+/-2,748)","37,840","(+/-3,684)","31,235","(+/-3,108)","32,614","(+/-3,128)","28,539","(+/-3,616)","18,713","(+/-2,418)","26,415","(+/-2,679)","38,959","(+/-2,921)","25,035","(+/-3,024)","20,268","(+/-2,675)","25,705","(+/-3,099)","25,497","(+/-2,798)","31,394","(+/-2,847)","33,644","(+/-3,637)","22,107","(+/-2,836)","21,439","(+/-2,912)","23,330","(+/-2,757)","16,883","(+/-2,289)","9,781","(+/-1,668)","11,454","(+/-1,924)","9,444","(+/-1,624)","14,115","(+/-1,954)","8,217","(+/-1,434)","12,508","(+/-1,991)"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,500 to $1,999","37,977","(+/-4,111)","26,243","(+/-2,745)","23,224","(+/-2,978)","40,159","(+/-3,946)","36,199","(+/-4,074)","34,185","(+/-3,527)","36,340","(+/-3,105)","35,951","(+/-3,244)","38,844","(+/-4,942)","24,684","(+/-3,419)","39,819","(+/-4,430)","35,966","(+/-3,487)","29,420","(+/-2,789)","23,612","(+/-2,957)","28,841","(+/-3,208)","38,068","(+/-3,730)","33,935","(+/-3,098)","29,802","(+/-3,772)","28,873","(+/-3,012)","24,536","(+/-3,339)","30,175","(+/-3,353)","20,587","(+/-2,649)","17,071","(+/-3,011)","15,165","(+/-2,137)","17,566","(+/-2,395)","17,167","(+/-2,271)","11,316","(+/-1,819)","20,924","(+/-2,472)"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,000 to $2,499","21,445","(+/-2,360)","15,942","(+/-2,110)","14,554","(+/-2,394)","20,469","(+/-3,114)","28,650","(+/-2,874)","18,911","(+/-2,172)","26,798","(+/-2,586)","21,342","(+/-2,970)","23,750","(+/-3,576)","16,837","(+/-2,673)","28,629","(+/-3,084)","23,453","(+/-3,133)","20,265","(+/-2,275)","16,722","(+/-2,557)","18,843","(+/-2,372)","30,072","(+/-3,474)","26,126","(+/-3,237)","19,911","(+/-2,551)","25,958","(+/-2,547)","20,525","(+/-2,876)","27,636","(+/-3,171)","20,205","(+/-2,386)","21,497","(+/-2,949)","16,952","(+/-2,092)","21,465","(+/-2,928)","15,393","(+/-2,087)","12,335","(+/-1,947)","21,984","(+/-2,957)"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,500 to $2,999","13,697","(+/-2,177)","9,208","(+/-1,597)","7,724","(+/-1,810)","10,068","(+/-2,030)","19,119","(+/-3,020)","6,493","(+/-1,560)","14,789","(+/-1,961)","15,040","(+/-1,992)","14,715","(+/-2,546)","9,072","(+/-1,576)","17,240","(+/-2,337)","11,165","(+/-1,887)","13,098","(+/-1,944)","14,126","(+/-2,323)","12,455","(+/-2,052)","18,806","(+/-2,638)","13,172","(+/-2,018)","10,276","(+/-1,829)","14,391","(+/-2,048)","14,869","(+/-2,533)","14,689","(+/-1,884)","18,831","(+/-2,704)","17,562","(+/-2,790)","12,116","(+/-2,322)","18,597","(+/-2,365)","12,711","(+/-2,324)","13,609","(+/-2,305)","18,070","(+/-2,473)"
Housing,"Selected Monthly Owner Costs(SMOC)","$3,000 or more","17,806","(+/-2,432)","10,649","(+/-1,764)","10,232","(+/-2,075)","11,429","(+/-1,986)","30,065","(+/-2,633)","9,525","(+/-1,620)","18,782","(+/-2,169)","16,280","(+/-1,865)","14,560","(+/-2,848)","15,300","(+/-1,894)","24,990","(+/-2,947)","14,607","(+/-2,192)","22,921","(+/-2,836)","30,269","(+/-2,994)","18,937","(+/-2,560)","23,581","(+/-2,887)","21,495","(+/-2,562)","9,854","(+/-1,750)","29,250","(+/-2,719)","18,579","(+/-2,664)","35,349","(+/-2,979)","31,779","(+/-2,989)","47,397","(+/-3,745)","22,525","(+/-2,774)","42,716","(+/-4,243)","25,577","(+/-2,993)","40,742","(+/-3,681)","25,289","(+/-3,006)"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)","1,787",(+/-47),"1,614",(+/-49),"1,497",(+/-49),"1,671",(+/-41),"2,052",(+/-63),"1,548",(+/-44),"1,857",(+/-36),"1,767",(+/-47),"1,860",(+/-46),"1,912",(+/-50),"1,942",(+/-43),"1,630",(+/-36),"1,923",(+/-51),"2,141",(+/-84),"1,877",(+/-60),"1,990",(+/-50),"1,881",(+/-48),"1,652",(+/-46),"2,105",(+/-62),"2,006",(+/-74),"2,144",(+/-54),"2,352",(+/-69),"2,688",(+/-91),"2,325",(+/-78),"2,640",(+/-87),"2,253",(+/-91),"2,858",(+/-86),"2,317",(+/-63)
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units without a mortgage","89,571","(+/-4,532)","99,030","(+/-4,223)","111,463","(+/-5,551)","80,402","(+/-3,905)","75,471","(+/-4,317)","133,613","(+/-6,181)","81,477","(+/-4,636)","124,046","(+/-5,248)","67,042","(+/-4,950)","55,898","(+/-3,805)","109,226","(+/-4,795)","122,919","(+/-4,460)","128,721","(+/-4,754)","75,720","(+/-4,315)","79,908","(+/-4,119)","110,319","(+/-4,552)","150,823","(+/-4,522)","118,805","(+/-4,606)","129,299","(+/-5,061)","68,499","(+/-4,545)","125,302","(+/-5,738)","108,237","(+/-4,734)","102,511","(+/-5,576)","70,648","(+/-4,431)","78,838","(+/-4,709)","71,624","(+/-3,720)","67,059","(+/-3,814)","67,621","(+/-4,262)"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $250","7,841","(+/-1,490)","14,860","(+/-2,215)","13,352","(+/-2,186)","10,074","(+/-1,997)","3,651","(+/-1,186)","15,105","(+/-2,156)","3,577",(+/-841),"9,394","(+/-2,079)","4,142","(+/-1,375)","3,371","(+/-1,019)","6,169","(+/-1,542)","14,802","(+/-1,780)","7,032","(+/-1,699)","6,342","(+/-1,490)","8,077","(+/-1,368)","7,227","(+/-1,474)","9,365","(+/-1,416)","14,707","(+/-2,010)","4,625","(+/-1,052)","1,333",(+/-671),"6,130","(+/-1,527)","2,412",(+/-932),"1,498",(+/-679),"2,990","(+/-1,020)","1,642",(+/-908),"2,992",(+/-848),865,(+/-434),"2,169",(+/-710)
Housing,"Selected Monthly Owner Costs(SMOC)","$250 to $399","17,703","(+/-2,918)","23,253","(+/-2,511)","26,834","(+/-2,445)","18,821","(+/-2,144)","9,394","(+/-1,875)","24,766","(+/-2,514)","12,845","(+/-1,887)","19,370","(+/-2,123)","9,629","(+/-2,626)","7,800","(+/-1,572)","14,202","(+/-2,319)","27,729","(+/-2,583)","12,244","(+/-2,152)","8,758","(+/-1,310)","9,430","(+/-1,574)","8,561","(+/-1,695)","16,836","(+/-2,177)","22,997","(+/-2,691)","9,072","(+/-1,520)","7,324","(+/-1,459)","11,097","(+/-2,027)","6,645","(+/-1,458)","2,618","(+/-1,016)","6,416","(+/-1,413)","4,920","(+/-1,501)","8,626","(+/-1,375)","5,633","(+/-1,188)","5,777","(+/-1,273)"
Housing,"Selected Monthly Owner Costs(SMOC)","$400 to $599","23,048","(+/-2,418)","25,660","(+/-2,739)","34,422","(+/-3,045)","23,329","(+/-2,250)","18,893","(+/-2,467)","33,911","(+/-3,630)","17,379","(+/-2,091)","31,436","(+/-3,013)","15,640","(+/-2,470)","13,269","(+/-2,501)","31,398","(+/-3,055)","35,366","(+/-2,474)","24,942","(+/-2,593)","14,298","(+/-2,163)","19,198","(+/-2,372)","25,776","(+/-3,190)","29,807","(+/-3,172)","32,588","(+/-3,322)","18,702","(+/-2,049)","14,070","(+/-2,234)","18,958","(+/-2,639)","15,205","(+/-1,938)","12,931","(+/-2,194)","12,653","(+/-1,932)","8,943","(+/-1,745)","18,202","(+/-2,342)","10,407","(+/-1,897)","13,651","(+/-2,055)"
Housing,"Selected Monthly Owner Costs(SMOC)","$600 to $799","18,156","(+/-2,094)","15,338","(+/-1,843)","16,973","(+/-2,606)","12,412","(+/-1,691)","15,984","(+/-2,346)","29,097","(+/-3,416)","18,469","(+/-2,327)","26,738","(+/-3,116)","14,832","(+/-2,675)","12,391","(+/-1,768)","26,057","(+/-3,236)","19,333","(+/-2,200)","24,389","(+/-2,725)","13,380","(+/-1,895)","18,297","(+/-2,330)","21,954","(+/-2,514)","30,281","(+/-2,503)","21,364","(+/-2,575)","20,101","(+/-2,336)","18,076","(+/-2,824)","22,209","(+/-2,543)","18,423","(+/-2,386)","16,351","(+/-2,335)","10,095","(+/-1,696)","13,382","(+/-2,138)","12,087","(+/-1,696)","10,286","(+/-1,921)","13,001","(+/-2,098)"
