Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE","District 15 Estimate","District 15 MOE","District 16 Estimate","District 16 MOE","District 17 Estimate","District 17 MOE","District 18 Estimate","District 18 MOE","District 19 Estimate","District 19 MOE","District 20 Estimate","District 20 MOE","District 21 Estimate","District 21 MOE","District 22 Estimate","District 22 MOE","District 23 Estimate","District 23 MOE","District 24 Estimate","District 24 MOE","District 25 Estimate","District 25 MOE","District 26 Estimate","District 26 MOE","District 27 Estimate","District 27 MOE","District 28 Estimate","District 28 MOE","District 29 Estimate","District 29 MOE","District 30 Estimate","District 30 MOE","District 31 Estimate","District 31 MOE","District 32 Estimate","District 32 MOE","District 33 Estimate","District 33 MOE","District 34 Estimate","District 34 MOE","District 35 Estimate","District 35 MOE","District 36 Estimate","District 36 MOE","District 37 Estimate","District 37 MOE","District 38 Estimate","District 38 MOE","District 39 Estimate","District 39 MOE","District 40 Estimate","District 40 MOE","District 41 Estimate","District 41 MOE","District 42 Estimate","District 42 MOE","District 43 Estimate","District 43 MOE","District 44 Estimate","District 44 MOE","District 45 Estimate","District 45 MOE","District 46 Estimate","District 46 MOE","District 47 Estimate","District 47 MOE","District 48 Estimate","District 48 MOE","District 49 Estimate","District 49 MOE","District 50 Estimate","District 50 MOE","District 51 Estimate","District 51 MOE","District 52 Estimate","District 52 MOE"
Education,"School Enrollment","Nursery school, preschool","8,305","(+/-1,778)","10,568","(+/-1,626)","7,965","(+/-1,333)","7,059","(+/-1,253)","8,589","(+/-1,479)","7,367","(+/-1,440)","10,736","(+/-1,780)","7,949","(+/-1,605)","10,172","(+/-2,030)","10,038","(+/-1,839)","9,898","(+/-2,054)","9,813","(+/-1,773)","8,439","(+/-1,519)","10,915","(+/-1,963)","11,831","(+/-1,704)","15,005","(+/-2,006)","10,356","(+/-1,677)","9,131","(+/-1,635)","9,127","(+/-1,683)","9,783","(+/-2,354)","9,566","(+/-1,909)","8,022","(+/-1,598)","7,621","(+/-1,726)","9,558","(+/-1,746)","7,168","(+/-1,821)","8,954","(+/-1,693)","10,921","(+/-2,372)","10,046","(+/-1,730)","11,228","(+/-1,890)","8,473","(+/-1,957)","10,315","(+/-1,807)","10,914","(+/-2,516)","5,651","(+/-1,346)","8,569","(+/-1,664)","7,017","(+/-1,553)","11,267","(+/-2,447)","9,140","(+/-1,891)","9,926","(+/-2,376)","11,224","(+/-2,399)","14,723","(+/-2,202)","6,776","(+/-1,939)","8,247","(+/-1,772)","9,145","(+/-2,035)","7,589","(+/-1,355)","9,469","(+/-2,094)","8,046","(+/-2,011)","10,150","(+/-2,033)","8,753","(+/-1,479)","10,556","(+/-2,560)","9,163","(+/-1,921)","11,033","(+/-2,004)","11,161","(+/-2,273)"
Education,"School Enrollment",Kindergarten,"8,936","(+/-2,045)","10,694","(+/-1,722)","9,257","(+/-1,883)","7,650","(+/-1,691)","9,647","(+/-1,795)","9,265","(+/-1,671)","9,198","(+/-1,673)","8,691","(+/-2,001)","11,827","(+/-2,086)","7,542","(+/-1,435)","3,496","(+/-1,117)","7,273","(+/-1,443)","11,555","(+/-1,919)","8,862","(+/-1,876)","7,105","(+/-1,339)","7,819","(+/-1,585)","8,939","(+/-2,058)","8,694","(+/-1,876)","7,138","(+/-1,348)","11,638","(+/-2,366)","13,506","(+/-2,495)","12,459","(+/-1,772)","10,286","(+/-1,933)","7,949","(+/-1,676)","13,428","(+/-2,343)","10,045","(+/-1,954)","11,058","(+/-2,345)","8,749","(+/-1,892)","8,233","(+/-1,433)","4,539","(+/-1,341)","8,683","(+/-1,791)","8,998","(+/-1,943)","11,688","(+/-1,982)","7,172","(+/-1,768)","9,043","(+/-1,908)","7,313","(+/-2,098)","7,585","(+/-1,675)","9,462","(+/-1,974)","11,435","(+/-1,822)","10,404","(+/-2,175)","11,938","(+/-2,028)","7,788","(+/-1,657)","10,312","(+/-2,011)","9,186","(+/-1,670)","9,457","(+/-1,894)","8,857","(+/-1,961)","8,511","(+/-2,053)","9,484","(+/-1,693)","10,180","(+/-1,933)","6,495","(+/-1,403)","8,818","(+/-2,003)","9,661","(+/-1,961)"
Education,"School Enrollment","Elementary school (grades 1-8)","77,764","(+/-2,709)","62,371","(+/-3,667)","75,299","(+/-3,494)","66,179","(+/-4,161)","78,238","(+/-4,785)","74,647","(+/-4,838)","75,614","(+/-5,191)","68,315","(+/-3,799)","88,425","(+/-3,022)","79,574","(+/-4,510)","40,469","(+/-2,479)","51,918","(+/-4,046)","100,865","(+/-4,977)","69,898","(+/-4,169)","57,654","(+/-3,538)","74,350","(+/-5,569)","58,613","(+/-4,453)","83,030","(+/-4,565)","61,310","(+/-5,067)","94,293","(+/-5,416)","96,738","(+/-5,566)","108,427","(+/-5,197)","89,685","(+/-6,611)","65,121","(+/-3,601)","86,762","(+/-4,536)","72,562","(+/-3,780)","85,401","(+/-6,917)","62,584","(+/-5,064)","66,742","(+/-5,096)","49,438","(+/-4,321)","65,992","(+/-5,252)","63,723","(+/-5,900)","95,554","(+/-6,567)","62,069","(+/-5,907)","82,535","(+/-4,760)","58,142","(+/-5,302)","64,708","(+/-6,619)","70,380","(+/-6,116)","81,368","(+/-5,055)","62,883","(+/-4,769)","80,638","(+/-5,362)","63,355","(+/-4,664)","71,071","(+/-5,315)","77,370","(+/-6,610)","69,848","(+/-5,224)","74,496","(+/-5,326)","68,113","(+/-4,892)","80,852","(+/-6,358)","65,914","(+/-4,719)","58,882","(+/-4,847)","65,654","(+/-5,426)","78,276","(+/-5,425)"
Education,"School Enrollment","High school (grades 9-12)","44,437","(+/-2,589)","38,577","(+/-2,640)","38,675","(+/-2,522)","39,600","(+/-2,965)","44,788","(+/-3,847)","38,214","(+/-3,278)","43,666","(+/-3,572)","39,185","(+/-2,676)","48,868","(+/-2,254)","40,988","(+/-2,591)","18,569","(+/-1,584)","30,793","(+/-2,953)","62,395","(+/-4,204)","37,253","(+/-2,862)","33,628","(+/-2,378)","39,676","(+/-3,347)","32,505","(+/-2,954)","47,792","(+/-3,690)","36,533","(+/-3,909)","50,155","(+/-3,842)","55,331","(+/-3,528)","62,503","(+/-3,571)","47,246","(+/-3,666)","36,371","(+/-2,491)","52,562","(+/-3,724)","43,228","(+/-3,094)","48,188","(+/-4,983)","36,764","(+/-3,634)","41,609","(+/-3,661)","24,071","(+/-3,006)","39,773","(+/-3,314)","27,028","(+/-2,821)","50,803","(+/-4,416)","35,511","(+/-3,297)","45,410","(+/-3,902)","30,423","(+/-3,850)","38,617","(+/-3,726)","36,540","(+/-3,232)","50,483","(+/-3,897)","39,233","(+/-3,538)","45,499","(+/-3,541)","40,719","(+/-3,892)","39,992","(+/-3,906)","39,028","(+/-3,850)","42,403","(+/-3,404)","41,171","(+/-3,300)","35,948","(+/-3,314)","39,810","(+/-3,561)","38,577","(+/-4,104)","34,780","(+/-3,238)","28,466","(+/-3,276)","43,703","(+/-3,640)"
Education,"School Enrollment","College or graduate school","51,873","(+/-3,767)","39,966","(+/-3,517)","45,707","(+/-3,485)","75,809","(+/-5,227)","48,476","(+/-4,553)","47,476","(+/-4,376)","60,569","(+/-5,719)","56,306","(+/-4,655)","46,623","(+/-4,524)","44,242","(+/-3,578)","41,673","(+/-3,258)","76,836","(+/-4,865)","53,129","(+/-4,403)","41,436","(+/-3,221)","45,280","(+/-3,816)","61,015","(+/-4,220)","58,067","(+/-5,143)","56,990","(+/-4,812)","72,193","(+/-5,022)","54,359","(+/-4,773)","57,155","(+/-4,667)","44,660","(+/-3,671)","51,080","(+/-4,156)","92,163","(+/-4,488)","49,617","(+/-4,775)","48,028","(+/-4,114)","48,329","(+/-3,910)","58,636","(+/-4,021)","47,716","(+/-4,281)","45,798","(+/-4,836)","52,245","(+/-4,064)","60,422","(+/-6,197)","55,460","(+/-4,300)","53,548","(+/-4,189)","56,317","(+/-5,284)","75,386","(+/-4,880)","71,532","(+/-5,363)","54,026","(+/-4,109)","68,568","(+/-4,812)","56,690","(+/-3,850)","54,604","(+/-4,911)","63,848","(+/-5,404)","48,866","(+/-4,339)","50,493","(+/-4,421)","61,355","(+/-5,036)","63,571","(+/-4,953)","77,414","(+/-4,846)","46,341","(+/-4,198)","44,828","(+/-4,572)","86,504","(+/-6,151)","77,801","(+/-5,390)","55,035","(+/-4,004)"
Education,"Educational Attainment","Population 25 years and over","507,545","(+/-3,463)","544,856","(+/-5,983)","575,585","(+/-6,258)","523,995","(+/-6,818)","555,715","(+/-10,295)","520,702","(+/-9,456)","518,500","(+/-9,045)","526,336","(+/-7,602)","501,190","(+/-3,588)","527,300","(+/-7,418)","565,719","(+/-5,841)","535,314","(+/-6,395)","474,442","(+/-8,653)","522,905","(+/-7,479)","535,095","(+/-7,357)","526,418","(+/-10,796)","547,424","(+/-10,256)","478,472","(+/-11,397)","514,037","(+/-10,370)","519,076","(+/-10,251)","457,175","(+/-8,376)","453,352","(+/-8,492)","498,542","(+/-9,729)","502,529","(+/-5,090)","511,935","(+/-7,543)","509,917","(+/-5,781)","490,697","(+/-9,947)","551,560","(+/-9,878)","500,551","(+/-14,866)","589,239","(+/-11,659)","503,762","(+/-10,444)","560,886","(+/-13,360)","482,643","(+/-11,040)","518,798","(+/-14,829)","501,999","(+/-9,582)","541,461","(+/-11,045)","494,159","(+/-12,692)","511,920","(+/-10,626)","485,998","(+/-8,361)","541,851","(+/-9,680)","569,806","(+/-10,999)","493,823","(+/-12,559)","486,849","(+/-12,918)","506,672","(+/-12,293)","522,003","(+/-8,855)","507,060","(+/-8,258)","528,900","(+/-7,429)","516,243","(+/-10,267)","525,066","(+/-8,196)","562,592","(+/-13,838)","522,339","(+/-11,122)","498,696","(+/-11,305)"
Education,"Educational Attainment","Less than 9th grade","32,088","(+/-3,280)","28,791","(+/-3,809)","9,755","(+/-2,203)","34,876","(+/-4,310)","22,353","(+/-2,983)","27,455","(+/-4,126)","41,321","(+/-4,178)","39,358","(+/-3,919)","54,613","(+/-5,451)","13,943","(+/-2,349)","31,591","(+/-3,711)","39,650","(+/-3,780)","91,314","(+/-5,718)","34,058","(+/-4,335)","43,059","(+/-4,405)","23,162","(+/-3,685)","20,702","(+/-3,076)","84,810","(+/-5,210)","29,150","(+/-3,864)","23,558","(+/-3,459)","76,427","(+/-5,480)","90,051","(+/-6,079)","24,785","(+/-3,016)","43,023","(+/-3,580)","64,837","(+/-5,165)","48,624","(+/-4,322)","32,190","(+/-3,391)","41,666","(+/-4,054)","84,080","(+/-5,736)","31,935","(+/-4,673)","71,115","(+/-5,995)","33,542","(+/-3,820)","47,782","(+/-4,102)","98,925","(+/-6,796)","57,977","(+/-5,107)","11,205","(+/-2,556)","87,397","(+/-5,235)","42,445","(+/-3,999)","54,460","(+/-4,718)","20,751","(+/-2,886)","31,793","(+/-3,950)","84,236","(+/-5,652)","77,402","(+/-6,182)","74,109","(+/-5,084)","44,556","(+/-4,479)","76,483","(+/-4,838)","15,834","(+/-3,384)","21,912","(+/-3,547)","25,816","(+/-3,454)","21,736","(+/-4,243)","24,185","(+/-3,217)","54,274","(+/-5,023)"
Education,"Educational Attainment","9th to 12th grade, no diploma","34,962","(+/-3,276)","21,341","(+/-2,676)","18,096","(+/-2,419)","30,854","(+/-3,334)","30,134","(+/-3,647)","32,009","(+/-4,084)","29,230","(+/-3,178)","32,883","(+/-3,720)","42,021","(+/-3,723)","15,249","(+/-2,930)","21,753","(+/-2,677)","28,016","(+/-2,955)","52,802","(+/-3,878)","22,285","(+/-3,047)","24,309","(+/-2,864)","17,446","(+/-2,477)","16,782","(+/-2,852)","51,271","(+/-4,469)","19,105","(+/-2,499)","28,626","(+/-3,136)","45,989","(+/-4,145)","66,049","(+/-3,593)","42,361","(+/-3,666)","30,544","(+/-3,457)","59,706","(+/-4,348)","28,676","(+/-3,024)","40,555","(+/-4,248)","26,590","(+/-2,874)","47,043","(+/-3,649)","22,852","(+/-3,473)","40,594","(+/-4,369)","22,337","(+/-3,245)","43,077","(+/-4,156)","49,673","(+/-4,114)","49,285","(+/-4,965)","11,502","(+/-2,078)","50,407","(+/-4,229)","38,635","(+/-3,803)","47,929","(+/-3,928)","17,258","(+/-3,261)","32,609","(+/-3,261)","41,168","(+/-4,019)","46,979","(+/-4,318)","50,848","(+/-4,268)","33,788","(+/-3,425)","64,906","(+/-5,144)","10,949","(+/-2,087)","24,414","(+/-3,442)","16,279","(+/-2,808)","17,826","(+/-3,320)","19,665","(+/-3,571)","43,407","(+/-4,579)"
Education,"Educational Attainment","High school graduate (includes equivalency)","129,068","(+/-6,279)","98,457","(+/-6,097)","102,426","(+/-5,780)","109,984","(+/-6,800)","129,557","(+/-6,342)","128,998","(+/-6,789)","102,800","(+/-6,646)","127,596","(+/-6,070)","138,541","(+/-6,078)","69,040","(+/-5,171)","59,104","(+/-4,923)","76,779","(+/-5,903)","140,546","(+/-7,046)","95,864","(+/-5,906)","84,241","(+/-5,559)","58,375","(+/-4,559)","63,484","(+/-5,757)","113,450","(+/-6,145)","75,772","(+/-5,029)","126,931","(+/-7,022)","120,441","(+/-6,466)","133,409","(+/-5,699)","146,173","(+/-7,079)","81,313","(+/-4,928)","143,076","(+/-7,323)","95,539","(+/-5,561)","107,437","(+/-5,432)","90,580","(+/-5,699)","126,854","(+/-6,778)","85,558","(+/-5,223)","125,022","(+/-6,615)","77,406","(+/-5,033)","149,298","(+/-7,678)","109,132","(+/-6,168)","139,304","(+/-6,610)","49,577","(+/-4,324)","89,472","(+/-5,760)","134,378","(+/-6,688)","153,443","(+/-8,523)","83,955","(+/-5,612)","141,490","(+/-8,704)","112,370","(+/-7,017)","118,796","(+/-5,473)","126,533","(+/-7,931)","102,330","(+/-6,340)","121,495","(+/-6,555)","60,359","(+/-5,243)","111,480","(+/-7,360)","78,141","(+/-5,692)","63,554","(+/-4,639)","84,938","(+/-6,254)","111,316","(+/-6,370)"
Education,"Educational Attainment","Some college, no degree","132,080","(+/-6,130)","112,348","(+/-6,059)","131,699","(+/-5,869)","115,754","(+/-5,299)","143,307","(+/-7,846)","120,344","(+/-7,054)","107,811","(+/-5,344)","114,653","(+/-5,918)","105,896","(+/-6,107)","87,671","(+/-5,348)","63,240","(+/-4,470)","78,801","(+/-5,486)","89,594","(+/-5,757)","84,242","(+/-4,511)","79,607","(+/-4,961)","59,137","(+/-4,202)","63,745","(+/-4,835)","79,250","(+/-4,987)","97,228","(+/-5,483)","132,603","(+/-6,613)","96,344","(+/-5,876)","90,986","(+/-5,105)","124,689","(+/-7,061)","104,192","(+/-5,260)","115,968","(+/-5,964)","98,401","(+/-5,575)","116,078","(+/-7,113)","83,280","(+/-5,074)","87,552","(+/-5,408)","96,128","(+/-6,483)","97,472","(+/-5,018)","88,608","(+/-5,883)","100,853","(+/-5,905)","77,238","(+/-5,662)","95,360","(+/-5,163)","72,923","(+/-5,290)","90,358","(+/-6,188)","99,363","(+/-5,531)","93,840","(+/-5,598)","99,637","(+/-6,311)","129,500","(+/-6,331)","94,983","(+/-6,232)","93,991","(+/-5,125)","97,719","(+/-6,458)","89,462","(+/-5,642)","94,857","(+/-5,637)","87,040","(+/-5,988)","123,341","(+/-6,676)","98,154","(+/-6,220)","86,681","(+/-5,737)","105,620","(+/-5,669)","113,350","(+/-6,572)"
Education,"Educational Attainment","Associate's degree","61,613","(+/-4,489)","45,716","(+/-3,779)","66,140","(+/-4,822)","46,561","(+/-3,596)","56,244","(+/-4,570)","48,024","(+/-4,133)","47,734","(+/-4,394)","50,824","(+/-3,790)","42,308","(+/-4,149)","40,861","(+/-4,099)","27,698","(+/-3,393)","28,521","(+/-3,400)","31,459","(+/-3,433)","36,401","(+/-3,422)","35,672","(+/-3,087)","27,469","(+/-2,588)","29,643","(+/-2,956)","35,842","(+/-3,084)","45,809","(+/-3,252)","58,488","(+/-3,955)","42,098","(+/-4,381)","28,288","(+/-3,010)","50,474","(+/-4,481)","41,672","(+/-3,363)","35,820","(+/-3,439)","38,845","(+/-3,289)","44,536","(+/-3,222)","38,228","(+/-3,107)","32,243","(+/-2,709)","47,741","(+/-3,993)","42,946","(+/-3,395)","38,772","(+/-4,114)","37,600","(+/-4,506)","26,378","(+/-3,093)","38,639","(+/-4,139)","29,520","(+/-3,069)","25,323","(+/-2,624)","42,430","(+/-3,521)","34,107","(+/-3,311)","41,408","(+/-3,561)","52,502","(+/-4,301)","30,759","(+/-3,073)","38,139","(+/-3,689)","39,065","(+/-3,873)","41,648","(+/-3,503)","36,873","(+/-4,519)","38,598","(+/-3,635)","48,945","(+/-4,152)","47,392","(+/-3,930)","35,654","(+/-4,137)","42,462","(+/-3,598)","44,798","(+/-3,836)"
Education,"Educational Attainment","Bachelor's degree","79,338","(+/-4,711)","139,611","(+/-5,993)","156,940","(+/-5,529)","110,321","(+/-5,376)","110,104","(+/-6,903)","105,204","(+/-6,283)","118,624","(+/-5,806)","104,225","(+/-5,758)","79,981","(+/-4,082)","182,747","(+/-7,167)","202,240","(+/-6,128)","144,956","(+/-6,312)","46,919","(+/-3,949)","143,724","(+/-6,621)","157,671","(+/-5,946)","157,006","(+/-5,869)","170,649","(+/-7,438)","74,832","(+/-5,944)","138,849","(+/-6,734)","94,589","(+/-6,184)","50,300","(+/-4,078)","30,274","(+/-2,715)","64,900","(+/-4,724)","118,536","(+/-6,229)","59,539","(+/-5,062)","123,066","(+/-5,772)","97,623","(+/-5,217)","156,242","(+/-6,637)","91,079","(+/-5,069)","195,649","(+/-8,057)","84,716","(+/-5,498)","179,499","(+/-7,850)","68,163","(+/-5,170)","107,090","(+/-6,461)","84,766","(+/-6,437)","208,910","(+/-7,983)","89,446","(+/-5,959)","103,335","(+/-5,251)","64,904","(+/-4,915)","168,134","(+/-7,411)","114,771","(+/-6,379)","85,864","(+/-6,018)","75,031","(+/-5,354)","80,694","(+/-5,040)","141,297","(+/-6,817)","82,210","(+/-5,338)","186,986","(+/-7,568)","120,347","(+/-6,904)","162,663","(+/-6,285)","187,803","(+/-8,010)","146,629","(+/-6,065)","88,670","(+/-6,011)"
Education,"Educational Attainment","Graduate or professional degree","38,396","(+/-3,398)","98,592","(+/-5,074)","90,529","(+/-4,584)","75,645","(+/-4,686)","64,016","(+/-4,724)","58,668","(+/-4,129)","70,980","(+/-5,253)","56,797","(+/-3,922)","37,830","(+/-3,807)","117,789","(+/-5,786)","160,093","(+/-5,975)","138,591","(+/-6,823)","21,808","(+/-3,107)","106,331","(+/-5,270)","110,536","(+/-5,270)","183,823","(+/-6,773)","182,419","(+/-7,299)","39,017","(+/-3,479)","108,124","(+/-5,451)","54,281","(+/-3,800)","25,576","(+/-3,437)","14,295","(+/-1,772)","45,160","(+/-3,830)","83,249","(+/-4,637)","32,989","(+/-3,192)","76,766","(+/-4,935)","52,278","(+/-4,147)","114,974","(+/-5,779)","31,700","(+/-3,192)","109,376","(+/-6,393)","41,897","(+/-3,418)","120,722","(+/-6,192)","35,870","(+/-4,094)","50,362","(+/-3,846)","36,668","(+/-3,547)","157,824","(+/-7,560)","61,756","(+/-5,173)","51,334","(+/-4,089)","37,315","(+/-3,406)","110,708","(+/-5,571)","67,141","(+/-4,928)","44,443","(+/-4,046)","36,511","(+/-3,520)","37,704","(+/-3,234)","68,922","(+/-4,332)","30,236","(+/-2,693)","129,134","(+/-6,556)","65,804","(+/-4,789)","96,621","(+/-5,770)","149,338","(+/-6,888)","98,840","(+/-5,156)","42,881","(+/-3,365)"
Education,"Educational Attainment","Percent high school graduate or higher",86.8,(+/-0.8),90.8,(+/-0.8),95.2,(+/-0.6),87.5,(+/-1.0),90.6,(+/-0.8),88.6,(+/-1.0),86.4,(+/-1.0),86.3,(+/-1.0),80.7,(+/-1.2),94.5,(+/-0.7),90.6,(+/-0.8),87.4,(+/-0.9),69.6,(+/-1.3),89.2,(+/-1.1),87.4,(+/-0.9),92.3,(+/-0.8),93.2,(+/-0.7),71.6,(+/-1.3),90.6,(+/-0.9),89.9,(+/-0.8),73.2,(+/-1.4),65.6,(+/-1.3),86.5,(+/-1.0),85.4,(+/-1.0),75.7,(+/-1.2),84.8,(+/-1.0),85.2,(+/-1.1),87.6,(+/-0.8),73.8,(+/-1.2),90.7,(+/-0.9),77.8,(+/-1.3),90.0,(+/-0.9),81.2,(+/-1.0),71.4,(+/-1.3),78.6,(+/-1.2),95.8,(+/-0.7),72.1,(+/-1.1),84.2,(+/-1.0),78.9,(+/-1.2),93.0,(+/-0.7),88.7,(+/-0.9),74.6,(+/-1.3),74.5,(+/-1.3),75.3,(+/-1.3),85.0,(+/-1.0),72.1,(+/-1.4),94.9,(+/-0.7),91.0,(+/-1.0),92.0,(+/-0.8),93.0,(+/-0.9),91.6,(+/-0.9),80.4,(+/-1.3)
Education,"Educational Attainment","Percent bachelor's degree or higher",23.2,(+/-1.1),43.7,(+/-1.3),43.0,(+/-1.2),35.5,(+/-1.3),31.3,(+/-1.5),31.5,(+/-1.5),36.6,(+/-1.4),30.6,(+/-1.1),23.5,(+/-1.0),57.0,(+/-1.3),64.0,(+/-1.0),53.0,(+/-1.4),14.5,(+/-1.0),47.8,(+/-1.3),50.1,(+/-1.1),64.7,(+/-1.2),64.5,(+/-1.5),23.8,(+/-1.3),48.0,(+/-1.4),28.7,(+/-1.2),16.6,(+/-1.1),9.8,(+/-0.6),22.1,(+/-1.2),40.2,(+/-1.2),18.1,(+/-1.1),39.2,(+/-1.3),30.5,(+/-1.3),49.2,(+/-1.3),24.5,(+/-1.0),51.8,(+/-1.2),25.1,(+/-1.1),53.5,(+/-1.4),21.6,(+/-1.2),30.3,(+/-1.3),24.2,(+/-1.3),67.7,(+/-1.3),30.6,(+/-1.3),30.2,(+/-1.1),21.0,(+/-1.1),51.5,(+/-1.4),31.9,(+/-1.4),26.4,(+/-1.3),22.9,(+/-1.1),23.4,(+/-1.2),40.3,(+/-1.2),22.2,(+/-1.1),59.8,(+/-1.3),36.1,(+/-1.4),49.4,(+/-1.3),59.9,(+/-1.3),47.0,(+/-1.3),26.4,(+/-1.3)

"Source: 2023 American Community Survey 1-Year Estimates"
"Estimates in the People, Workers, Housing, Socioeconomic, and Education tabs are from the American Community Survey (ACS). The ACS is an annual household survey developed by the U.S. Census Bureau to replace the long form of the decennial census program. Each year, the ACS samples about 3.5 million household addresses to produce nearly 11 billion estimates covering demographic, social, economic, and housing characteristics."
"Except where noted, 'race' refers to people reporting only one race.  'Hispanic' refers to an ethnic category;  Hispanics may be of any race."
"An '-' The estimate could not be computed because there were an insufficient number of sample observations. For a ratio of medians estimate, one or both of the median estimates falls in the lowest interval or highest interval of an open-ended distribution. For a 5-year median estimate, the margin of error associated with a median was larger than the median itself."
"median- The median falls in the lowest interval of an open-ended distribution (for example '2,500-')"
"median+ The median falls in the highest interval of an open-ended distribution (for example '250,000+')"
"An '**' The margin of error could not be computed because there were an insufficient number of sample observations."
"An '***' The margin of error could not be computed because the median falls in the lowest interval or highest interval of an open-ended distribution. "
"An '*****' A margin of error is not appropriate because the corresponding estimate is controlled to an independent population or housing estimate. Effectively, the corresponding estimate has no sampling error and the margin of error may be treated as zero. "
"An 'N' The estimate or margin of error cannot be displayed because there were an insufficient number of sample cases in the selected geographic area."
"An '(X)' The estimate or margin of error is not applicable or not available.  "
"If calculating a percentage, use the total population line within the section as the denominator. Do not use total population lines from other sections since these may have different universes."

Topic,Subject,Title,"District 01 Estimate","District 01 Flag","District 02 Estimate","District 02 Flag","District 03 Estimate","District 03 Flag","District 04 Estimate","District 04 Flag","District 05 Estimate","District 05 Flag","District 06 Estimate","District 06 Flag","District 07 Estimate","District 07 Flag","District 08 Estimate","District 08 Flag","District 09 Estimate","District 09 Flag","District 10 Estimate","District 10 Flag","District 11 Estimate","District 11 Flag","District 12 Estimate","District 12 Flag","District 13 Estimate","District 13 Flag","District 14 Estimate","District 14 Flag","District 15 Estimate","District 15 Flag","District 16 Estimate","District 16 Flag","District 17 Estimate","District 17 Flag","District 18 Estimate","District 18 Flag","District 19 Estimate","District 19 Flag","District 20 Estimate","District 20 Flag","District 21 Estimate","District 21 Flag","District 22 Estimate","District 22 Flag","District 23 Estimate","District 23 Flag","District 24 Estimate","District 24 Flag","District 25 Estimate","District 25 Flag","District 26 Estimate","District 26 Flag","District 27 Estimate","District 27 Flag","District 28 Estimate","District 28 Flag","District 29 Estimate","District 29 Flag","District 30 Estimate","District 30 Flag","District 31 Estimate","District 31 Flag","District 32 Estimate","District 32 Flag","District 33 Estimate","District 33 Flag","District 34 Estimate","District 34 Flag","District 35 Estimate","District 35 Flag","District 36 Estimate","District 36 Flag","District 37 Estimate","District 37 Flag","District 38 Estimate","District 38 Flag","District 39 Estimate","District 39 Flag","District 40 Estimate","District 40 Flag","District 41 Estimate","District 41 Flag","District 42 Estimate","District 42 Flag","District 43 Estimate","District 43 Flag","District 44 Estimate","District 44 Flag","District 45 Estimate","District 45 Flag","District 46 Estimate","District 46 Flag","District 47 Estimate","District 47 Flag","District 48 Estimate","District 48 Flag","District 49 Estimate","District 49 Flag","District 50 Estimate","District 50 Flag","District 51 Estimate","District 51 Flag","District 52 Estimate","District 52 Flag"
Business,"Paid employees for pay period including March 12","Total for all sectors","189,649",G,"254,403",G,"273,841",G,"246,950",G,"230,828",G,"259,390",G,"245,057",G,"168,422",G,"204,642",G,"259,935",G,"723,461",G,"310,477",G,"147,394",G,"282,237",G,"437,271",G,"443,683",G,"666,612",G,"204,565",G,"213,573",G,"202,867",G,"213,159",G,"141,856",G,"155,575",G,"277,688",G,"127,565",G,"264,813",G,"178,312",G,"262,256",G,"187,750",G,"458,175",G,"279,032",G,"361,446",G,"199,939",G,"289,588",G,"365,700",G,"495,612",G,"276,804",G,"233,445",G,"223,820",G,"281,959",G,"233,113",G,"285,595",G,"237,740",G,"231,694",G,"306,926",G,"388,623",G,"562,045",G,"213,851",G,"274,532",G,"423,645",G,"431,357",G,"152,665",G
Business,"Paid employees for pay period including March 12","Agriculture, forestry, fishing and hunting","2,721",G,"1,296",G,393,G,"1,684",H,928,G,53,H,234,G,23,G,950,H,85,H,47,H,97,J,"8,074",H,96,J,16,G,99,H,0,N,"3,383",G,684,G,828,G,"1,694",G,"3,815",H,21,J,"1,410",G,"1,702",G,799,H,28,J,42,H,73,G,117,H,98,J,25,J,67,J,20,J,197,J,88,H,109,H,0,N,86,G,62,J,55,H,45,H,1,G,41,H,21,J,26,G,164,G,409,G,219,H,148,G,24,H,26,G
Business,"Paid employees for pay period including March 12","Mining, quarrying, and oil and gas extraction",253,G,215,G,217,H,348,G,334,H,0,N,33,J,65,J,54,J,112,G,16,J,0,N,329,H,170,G,55,J,97,J,48,H,170,H,139,G,"4,478",G,21,J,"1,008",H,"1,575",G,987,G,399,J,210,G,"1,080",J,26,J,92,J,22,H,315,J,6,G,142,H,0,N,30,H,68,J,0,N,38,J,0,N,0,N,216,G,415,G,0,N,22,H,19,J,28,J,85,H,62,G,47,J,0,N,170,H,36,J
