Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE","District 15 Estimate","District 15 MOE"
Workers,"Class of Worker","Government workers","45,795","(+/-3,910)","53,688","(+/-3,983)","65,176","(+/-4,799)","51,040","(+/-2,973)","53,111","(+/-3,740)","43,219","(+/-3,910)","44,808","(+/-3,791)","45,468","(+/-3,496)","46,192","(+/-3,441)","55,041","(+/-4,212)","45,419","(+/-3,545)","53,584","(+/-3,683)","45,494","(+/-3,536)","46,089","(+/-3,834)","52,054","(+/-4,241)"
Workers,"Class of Worker","Self-employed in own not incorporated business workers","22,040","(+/-2,679)","18,326","(+/-2,199)","20,738","(+/-3,333)","22,636","(+/-2,166)","18,733","(+/-2,194)","19,213","(+/-2,705)","19,823","(+/-2,547)","18,313","(+/-2,543)","17,737","(+/-2,314)","16,080","(+/-2,510)","14,772","(+/-1,883)","23,615","(+/-2,864)","19,262","(+/-2,755)","21,108","(+/-2,611)","18,446","(+/-2,468)"
Workers,"Class of Worker","Unpaid family workers",930,(+/-649),546,(+/-379),302,(+/-408),370,(+/-273),701,(+/-401),661,(+/-380),882,(+/-450),541,(+/-521),"1,393",(+/-738),592,(+/-337),342,(+/-260),"1,228",(+/-724),237,(+/-212),657,(+/-517),273,(+/-267)
Housing,"Housing Occupancy","Total housing units","358,474","(+/-3,912)","344,582",(+/-856),"365,556","(+/-5,793)","340,128","(+/-1,722)","346,563","(+/-1,529)","367,607","(+/-2,976)","331,883","(+/-5,028)","326,732","(+/-4,240)","373,872","(+/-1,615)","364,512","(+/-1,993)","410,034","(+/-4,897)","330,061","(+/-2,040)","360,451","(+/-2,478)","355,990",(+/-517),"340,689","(+/-6,167)"
Housing,"Housing Occupancy","Occupied housing units","337,195","(+/-4,369)","318,330","(+/-3,025)","337,715","(+/-6,056)","317,894","(+/-3,372)","323,312","(+/-3,437)","333,103","(+/-4,609)","317,645","(+/-4,834)","311,076","(+/-4,283)","335,877","(+/-3,157)","339,246","(+/-2,949)","354,317","(+/-5,830)","304,104","(+/-2,811)","335,536","(+/-4,131)","329,557","(+/-3,509)","322,402","(+/-5,739)"
Housing,"Housing Occupancy","Vacant housing units","21,279","(+/-3,079)","26,252","(+/-2,946)","27,841","(+/-3,075)","22,234","(+/-3,056)","23,251","(+/-3,184)","34,504","(+/-3,667)","14,238","(+/-2,722)","15,656","(+/-2,451)","37,995","(+/-3,007)","25,266","(+/-2,574)","55,717","(+/-3,799)","25,957","(+/-2,744)","24,915","(+/-3,302)","26,433","(+/-3,613)","18,287","(+/-2,954)"
Housing,"Housing Occupancy","Homeowner vacancy rate",0.6,(+/-0.3),0.6,(+/-0.3),0.6,(+/-0.3),0.5,(+/-0.3),1.0,(+/-0.5),0.5,(+/-0.3),0.4,(+/-0.3),0.2,(+/-0.2),0.7,(+/-0.3),1.2,(+/-0.6),1.7,(+/-0.6),0.3,(+/-0.2),1.3,(+/-0.5),0.7,(+/-0.3),0.5,(+/-0.4)
Housing,"Housing Occupancy","Rental vacancy rate",4.0,(+/-1.3),3.2,(+/-1.1),3.3,(+/-1.0),3.7,(+/-1.5),6.5,(+/-2.0),5.6,(+/-1.6),4.9,(+/-1.7),4.5,(+/-1.5),5.9,(+/-1.5),3.6,(+/-1.1),8.6,(+/-1.3),7.2,(+/-1.8),1.6,(+/-0.8),4.7,(+/-1.7),2.4,(+/-0.9)
Housing,"Housing Tenure","Occupied housing units","337,195","(+/-4,369)","318,330","(+/-3,025)","337,715","(+/-6,056)","317,894","(+/-3,372)","323,312","(+/-3,437)","333,103","(+/-4,609)","317,645","(+/-4,834)","311,076","(+/-4,283)","335,877","(+/-3,157)","339,246","(+/-2,949)","354,317","(+/-5,830)","304,104","(+/-2,811)","335,536","(+/-4,131)","329,557","(+/-3,509)","322,402","(+/-5,739)"
Housing,"Housing Tenure",Owner-occupied,"197,838","(+/-4,878)","232,129","(+/-4,588)","160,590","(+/-5,560)","235,050","(+/-4,602)","243,523","(+/-4,521)","240,638","(+/-5,406)","248,791","(+/-4,294)","222,444","(+/-5,064)","227,410","(+/-3,570)","211,141","(+/-4,392)","184,761","(+/-6,197)","225,266","(+/-4,128)","227,335","(+/-5,107)","245,697","(+/-4,157)","197,666","(+/-5,286)"
Housing,"Housing Tenure",Renter-occupied,"139,357","(+/-4,975)","86,201","(+/-4,426)","177,125","(+/-6,511)","82,844","(+/-4,529)","79,789","(+/-4,402)","92,465","(+/-3,939)","68,854","(+/-3,892)","88,632","(+/-5,124)","108,467","(+/-3,664)","128,105","(+/-4,983)","169,556","(+/-6,242)","78,838","(+/-3,865)","108,201","(+/-4,840)","83,860","(+/-4,270)","124,736","(+/-6,198)"
Housing,"Housing Tenure","Average household size of owner-occupied unit",2.59,(+/-0.04),2.51,(+/-0.03),2.45,(+/-0.05),2.57,(+/-0.04),2.49,(+/-0.03),2.35,(+/-0.04),2.51,(+/-0.04),2.56,(+/-0.04),2.36,(+/-0.03),2.39,(+/-0.04),2.27,(+/-0.06),2.69,(+/-0.04),2.39,(+/-0.04),2.42,(+/-0.04),2.53,(+/-0.05)
Housing,"Housing Tenure","Average household size of renter-occupied unit",1.87,(+/-0.06),2.16,(+/-0.08),2.07,(+/-0.06),2.10,(+/-0.08),2.03,(+/-0.08),1.98,(+/-0.06),1.91,(+/-0.09),2.26,(+/-0.09),2.08,(+/-0.07),1.98,(+/-0.06),1.96,(+/-0.06),2.23,(+/-0.08),2.08,(+/-0.08),2.04,(+/-0.07),2.23,(+/-0.08)
Housing,"Year Householder Moved into Unit","Occupied housing units","337,195","(+/-4,369)","318,330","(+/-3,025)","337,715","(+/-6,056)","317,894","(+/-3,372)","323,312","(+/-3,437)","333,103","(+/-4,609)","317,645","(+/-4,834)","311,076","(+/-4,283)","335,877","(+/-3,157)","339,246","(+/-2,949)","354,317","(+/-5,830)","304,104","(+/-2,811)","335,536","(+/-4,131)","329,557","(+/-3,509)","322,402","(+/-5,739)"
Housing,"Year Householder Moved into Unit","Moved in 2021 or later","101,011","(+/-5,310)","63,044","(+/-3,904)","122,922","(+/-6,026)","69,935","(+/-4,736)","68,948","(+/-4,070)","58,883","(+/-3,544)","59,498","(+/-3,758)","68,249","(+/-4,940)","76,220","(+/-4,262)","87,601","(+/-4,963)","101,838","(+/-5,306)","67,832","(+/-4,324)","72,819","(+/-4,610)","63,206","(+/-4,200)","93,273","(+/-5,106)"
Housing,"Year Householder Moved into Unit","Moved in 2018 to 2020","66,995","(+/-4,248)","54,349","(+/-3,979)","70,631","(+/-4,495)","58,344","(+/-3,846)","56,137","(+/-3,907)","56,478","(+/-4,006)","55,274","(+/-3,423)","55,085","(+/-4,577)","58,641","(+/-3,752)","67,441","(+/-4,855)","61,596","(+/-4,636)","50,174","(+/-3,096)","60,370","(+/-4,098)","57,947","(+/-4,139)","67,222","(+/-4,964)"
Housing,"Year Householder Moved into Unit","Moved in 2010 to 2017","73,056","(+/-4,577)","77,806","(+/-4,152)","65,612","(+/-4,200)","72,198","(+/-4,019)","65,045","(+/-2,913)","67,256","(+/-3,769)","69,281","(+/-4,203)","73,069","(+/-4,672)","76,371","(+/-3,660)","72,649","(+/-4,520)","71,489","(+/-5,190)","69,483","(+/-3,603)","75,789","(+/-4,214)","69,090","(+/-3,778)","68,149","(+/-4,402)"
Housing,"Year Householder Moved into Unit","Moved in 2000 to 2009","45,958","(+/-3,029)","54,423","(+/-3,273)","36,132","(+/-3,217)","53,721","(+/-3,502)","54,084","(+/-3,423)","59,622","(+/-3,419)","56,686","(+/-3,681)","52,329","(+/-3,268)","51,973","(+/-2,955)","49,075","(+/-3,487)","46,983","(+/-3,764)","52,776","(+/-3,311)","54,224","(+/-3,715)","55,053","(+/-2,784)","42,628","(+/-3,438)"
Housing,"Year Householder Moved into Unit","Moved in 1990 to 1999","26,925","(+/-2,650)","34,298","(+/-2,670)","21,336","(+/-2,564)","32,581","(+/-2,584)","36,871","(+/-2,592)","38,642","(+/-2,668)","36,962","(+/-2,553)","31,810","(+/-3,041)","35,492","(+/-2,682)","29,870","(+/-2,319)","30,665","(+/-2,730)","31,674","(+/-2,335)","33,838","(+/-2,572)","39,901","(+/-3,211)","27,643","(+/-2,558)"
Housing,"Year Householder Moved into Unit","Moved in 1989 and earlier","23,250","(+/-1,931)","34,410","(+/-2,234)","21,082","(+/-1,898)","31,115","(+/-2,404)","42,227","(+/-2,400)","52,222","(+/-3,272)","39,944","(+/-2,589)","30,534","(+/-2,397)","37,180","(+/-2,360)","32,610","(+/-2,093)","41,746","(+/-3,120)","32,165","(+/-2,105)","38,496","(+/-2,990)","44,360","(+/-2,952)","23,487","(+/-1,901)"
Housing,Value,"Owner-occupied units","197,838","(+/-4,878)","232,129","(+/-4,588)","160,590","(+/-5,560)","235,050","(+/-4,602)","243,523","(+/-4,521)","240,638","(+/-5,406)","248,791","(+/-4,294)","222,444","(+/-5,064)","227,410","(+/-3,570)","211,141","(+/-4,392)","184,761","(+/-6,197)","225,266","(+/-4,128)","227,335","(+/-5,107)","245,697","(+/-4,157)","197,666","(+/-5,286)"
Housing,Value,"Less than $50,000","6,395","(+/-1,509)","20,608","(+/-1,990)","4,606","(+/-1,329)","12,611","(+/-1,758)","17,533","(+/-2,050)","23,478","(+/-2,208)","9,688","(+/-1,311)","9,310","(+/-1,399)","20,887","(+/-2,291)","14,181","(+/-1,890)","17,336","(+/-2,107)","14,252","(+/-1,951)","13,522","(+/-2,095)","19,100","(+/-2,011)","8,545","(+/-1,535)"
Housing,Value,"$50,000 to $99,999","7,360","(+/-1,607)","27,324","(+/-2,121)","5,719","(+/-1,233)","21,859","(+/-2,181)","26,141","(+/-2,090)","41,993","(+/-2,937)","8,562","(+/-1,499)","14,914","(+/-2,197)","30,549","(+/-2,402)","25,191","(+/-2,774)","34,317","(+/-3,316)","17,053","(+/-1,894)","23,549","(+/-2,475)","23,878","(+/-2,275)","10,938","(+/-1,768)"
Housing,Value,"$100,000 to $149,999","13,288","(+/-1,790)","31,200","(+/-2,499)","8,005","(+/-1,522)","29,783","(+/-2,628)","39,922","(+/-2,739)","41,946","(+/-3,121)","22,423","(+/-2,182)","24,503","(+/-2,279)","36,988","(+/-2,824)","30,600","(+/-2,882)","32,097","(+/-3,401)","21,836","(+/-2,205)","32,765","(+/-3,469)","36,790","(+/-3,542)","18,664","(+/-1,915)"
Housing,Value,"$150,000 to $199,999","21,845","(+/-2,267)","35,336","(+/-2,544)","17,055","(+/-2,094)","36,775","(+/-2,618)","44,151","(+/-2,874)","47,438","(+/-3,192)","43,042","(+/-2,572)","36,626","(+/-3,250)","38,237","(+/-2,860)","36,458","(+/-3,552)","32,306","(+/-3,428)","30,232","(+/-2,700)","39,896","(+/-3,565)","41,442","(+/-3,520)","25,261","(+/-2,819)"
Housing,Value,"$200,000 to $299,999","45,440","(+/-3,343)","55,559","(+/-3,548)","40,040","(+/-3,866)","50,188","(+/-3,339)","57,411","(+/-2,997)","47,228","(+/-2,856)","74,283","(+/-3,132)","60,878","(+/-3,809)","48,666","(+/-2,872)","49,629","(+/-3,198)","32,528","(+/-2,445)","47,957","(+/-3,246)","51,055","(+/-3,204)","59,575","(+/-3,781)","55,006","(+/-3,818)"
Housing,Value,"$300,000 to $499,999","58,612","(+/-3,118)","47,195","(+/-3,446)","53,567","(+/-3,728)","50,347","(+/-2,813)","44,274","(+/-2,935)","29,441","(+/-2,687)","64,991","(+/-3,114)","57,101","(+/-3,533)","39,159","(+/-2,573)","43,282","(+/-2,787)","24,210","(+/-2,241)","60,340","(+/-2,613)","49,639","(+/-3,757)","48,215","(+/-3,141)","59,521","(+/-3,418)"
Housing,Value,"$500,000 to $999,999","37,369","(+/-2,970)","13,720","(+/-1,636)","26,490","(+/-2,170)","29,640","(+/-2,357)","12,692","(+/-1,509)","7,922","(+/-1,323)","23,131","(+/-2,163)","16,112","(+/-1,986)","11,070","(+/-1,550)","10,028","(+/-1,610)","9,874","(+/-1,361)","31,056","(+/-2,311)","14,704","(+/-1,929)","14,729","(+/-1,823)","17,862","(+/-2,255)"
Housing,Value,"$1,000,000 or more","7,529","(+/-1,480)","1,187",(+/-493),"5,108","(+/-1,106)","3,847","(+/-1,036)","1,399",(+/-560),"1,192",(+/-501),"2,671",(+/-738),"3,000","(+/-1,077)","1,854",(+/-430),"1,772",(+/-567),"2,093",(+/-556),"2,540",(+/-789),"2,205",(+/-791),"1,968",(+/-590),"1,869",(+/-546)
Housing,Value,"Median (dollars)","313,500","(+/-9,882)","202,600","(+/-5,815)","314,300","(+/-9,567)","229,700","(+/-5,747)","191,700","(+/-5,008)","162,200","(+/-3,099)","249,600","(+/-4,211)","238,200","(+/-5,031)","181,300","(+/-5,575)","198,600","(+/-6,418)","161,100","(+/-4,647)","259,800","(+/-5,928)","206,900","(+/-6,799)","202,400","(+/-4,629)","262,300","(+/-6,843)"
Housing,"Mortgage Status","Owner-occupied units","197,838","(+/-4,878)","232,129","(+/-4,588)","160,590","(+/-5,560)","235,050","(+/-4,602)","243,523","(+/-4,521)","240,638","(+/-5,406)","248,791","(+/-4,294)","222,444","(+/-5,064)","227,410","(+/-3,570)","211,141","(+/-4,392)","184,761","(+/-6,197)","225,266","(+/-4,128)","227,335","(+/-5,107)","245,697","(+/-4,157)","197,666","(+/-5,286)"
Housing,"Mortgage Status","Housing units with a mortgage","135,015","(+/-4,798)","129,734","(+/-4,749)","111,573","(+/-5,281)","139,626","(+/-4,981)","142,858","(+/-4,635)","127,658","(+/-4,874)","150,111","(+/-4,333)","139,307","(+/-4,841)","124,812","(+/-3,943)","130,130","(+/-4,730)","104,064","(+/-5,288)","138,038","(+/-4,048)","139,240","(+/-4,649)","138,179","(+/-3,759)","132,806","(+/-4,162)"
Housing,"Mortgage Status","Housing units without a mortgage","62,823","(+/-3,608)","102,395","(+/-3,394)","49,017","(+/-3,160)","95,424","(+/-4,191)","100,665","(+/-3,499)","112,980","(+/-4,671)","98,680","(+/-4,046)","83,137","(+/-3,540)","102,598","(+/-3,920)","81,011","(+/-4,212)","80,697","(+/-4,690)","87,228","(+/-4,068)","88,095","(+/-3,757)","107,518","(+/-3,760)","64,860","(+/-3,625)"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units with a mortgage","135,015","(+/-4,798)","129,734","(+/-4,749)","111,573","(+/-5,281)","139,626","(+/-4,981)","142,858","(+/-4,635)","127,658","(+/-4,874)","150,111","(+/-4,333)","139,307","(+/-4,841)","124,812","(+/-3,943)","130,130","(+/-4,730)","104,064","(+/-5,288)","138,038","(+/-4,048)","139,240","(+/-4,649)","138,179","(+/-3,759)","132,806","(+/-4,162)"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $500",533,(+/-370),"2,009",(+/-813),"1,378",(+/-610),818,(+/-344),"1,757",(+/-622),"2,065",(+/-594),716,(+/-373),807,(+/-338),"2,488",(+/-769),"1,714",(+/-543),976,(+/-545),"1,290",(+/-596),"2,406",(+/-774),"1,489",(+/-630),950,(+/-588)
Housing,"Selected Monthly Owner Costs(SMOC)","$500 to $999","11,281","(+/-1,857)","28,218","(+/-2,582)","10,067","(+/-1,799)","26,799","(+/-2,696)","31,732","(+/-2,454)","41,968","(+/-3,320)","17,815","(+/-1,953)","20,958","(+/-2,453)","30,114","(+/-2,255)","27,718","(+/-2,817)","19,213","(+/-2,062)","23,937","(+/-2,498)","29,383","(+/-3,043)","28,998","(+/-2,684)","17,693","(+/-2,187)"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 to $1,499","32,128","(+/-2,911)","46,652","(+/-3,253)","27,610","(+/-2,917)","41,267","(+/-3,079)","52,098","(+/-2,993)","48,834","(+/-3,208)","47,639","(+/-3,115)","47,195","(+/-3,469)","42,376","(+/-3,089)","41,470","(+/-4,042)","35,142","(+/-3,181)","40,621","(+/-2,614)","48,721","(+/-3,061)","49,638","(+/-3,440)","43,544","(+/-3,229)"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,500 to $1,999","32,950","(+/-2,955)","27,852","(+/-2,610)","26,762","(+/-3,242)","28,310","(+/-2,727)","28,601","(+/-2,248)","20,137","(+/-2,189)","40,741","(+/-2,990)","36,328","(+/-3,366)","26,416","(+/-2,511)","31,037","(+/-3,029)","24,318","(+/-2,676)","30,937","(+/-2,612)","28,200","(+/-2,947)","31,463","(+/-3,184)","34,933","(+/-2,915)"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,000 to $2,499","20,601","(+/-2,279)","13,380","(+/-1,697)","18,385","(+/-1,848)","17,277","(+/-2,191)","16,029","(+/-1,942)","7,367","(+/-1,183)","20,236","(+/-2,238)","18,219","(+/-2,297)","11,649","(+/-1,505)","12,581","(+/-1,667)","11,301","(+/-1,807)","17,432","(+/-2,208)","14,458","(+/-1,698)","13,753","(+/-1,855)","16,622","(+/-2,037)"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,500 to $2,999","14,594","(+/-2,270)","6,687","(+/-1,459)","10,479","(+/-1,819)","10,184","(+/-1,606)","6,066","(+/-1,259)","3,529",(+/-978),"11,401","(+/-1,609)","7,480","(+/-1,801)","5,643","(+/-1,216)","7,726","(+/-1,351)","5,184","(+/-1,160)","11,129","(+/-1,702)","9,077","(+/-1,813)","5,120",(+/-995),"8,927","(+/-1,473)"
Housing,"Selected Monthly Owner Costs(SMOC)","$3,000 or more","22,928","(+/-2,424)","4,936","(+/-1,188)","16,892","(+/-2,016)","14,971","(+/-1,879)","6,575","(+/-1,277)","3,758","(+/-1,141)","11,563","(+/-1,561)","8,320","(+/-1,716)","6,126","(+/-1,173)","7,884","(+/-1,562)","7,930","(+/-1,270)","12,692","(+/-1,916)","6,995","(+/-1,416)","7,718","(+/-1,440)","10,137","(+/-1,912)"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)","1,844",(+/-50),"1,363",(+/-30),"1,799",(+/-51),"1,514",(+/-39),"1,356",(+/-22),"1,177",(+/-23),"1,598",(+/-32),"1,508",(+/-33),"1,342",(+/-25),"1,429",(+/-35),"1,443",(+/-43),"1,544",(+/-37),"1,384",(+/-29),"1,382",(+/-31),"1,553",(+/-33)
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units without a mortgage","62,823","(+/-3,608)","102,395","(+/-3,394)","49,017","(+/-3,160)","95,424","(+/-4,191)","100,665","(+/-3,499)","112,980","(+/-4,671)","98,680","(+/-4,046)","83,137","(+/-3,540)","102,598","(+/-3,920)","81,011","(+/-4,212)","80,697","(+/-4,690)","87,228","(+/-4,068)","88,095","(+/-3,757)","107,518","(+/-3,760)","64,860","(+/-3,625)"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $250","2,059","(+/-1,001)","6,980","(+/-1,361)",699,(+/-458),"5,838","(+/-1,344)","4,464",(+/-915),"8,576","(+/-1,749)","2,830",(+/-679),"2,731",(+/-749),"7,884","(+/-1,547)","3,789","(+/-1,162)","4,827","(+/-1,176)","5,451","(+/-1,102)","4,152","(+/-1,087)","5,440","(+/-1,145)","2,286",(+/-609)
Housing,"Selected Monthly Owner Costs(SMOC)","$250 to $399","5,136","(+/-1,328)","22,824","(+/-2,457)","5,576","(+/-1,263)","17,401","(+/-2,072)","18,383","(+/-1,881)","29,914","(+/-2,091)","8,695","(+/-1,225)","10,417","(+/-1,411)","19,676","(+/-2,010)","12,682","(+/-1,760)","12,542","(+/-1,705)","14,299","(+/-1,803)","15,093","(+/-1,866)","18,894","(+/-2,147)","9,998","(+/-1,464)"
Housing,"Selected Monthly Owner Costs(SMOC)","$400 to $599","14,794","(+/-1,888)","34,851","(+/-2,602)","9,602","(+/-1,472)","29,900","(+/-2,247)","35,667","(+/-2,384)","41,727","(+/-3,196)","27,549","(+/-2,400)","25,254","(+/-2,245)","33,165","(+/-2,673)","24,121","(+/-2,188)","22,896","(+/-2,877)","29,561","(+/-2,240)","28,524","(+/-2,565)","38,031","(+/-2,798)","17,631","(+/-1,718)"
Housing,"Selected Monthly Owner Costs(SMOC)","$600 to $799","14,282","(+/-1,878)","22,788","(+/-2,268)","11,482","(+/-1,867)","19,825","(+/-2,473)","25,084","(+/-2,382)","20,416","(+/-1,822)","27,012","(+/-1,995)","21,450","(+/-2,166)","21,617","(+/-2,259)","19,720","(+/-2,434)","16,698","(+/-2,376)","19,073","(+/-2,088)","18,711","(+/-2,078)","24,651","(+/-2,579)","15,224","(+/-2,095)"
Housing,"Selected Monthly Owner Costs(SMOC)","$800 to $999","10,437","(+/-1,865)","7,913","(+/-1,104)","8,549","(+/-1,389)","9,678","(+/-1,596)","9,759","(+/-1,520)","6,573","(+/-1,140)","16,789","(+/-1,945)","12,374","(+/-1,959)","10,046","(+/-1,389)","10,069","(+/-1,646)","9,182","(+/-1,419)","8,788","(+/-1,339)","10,973","(+/-1,611)","9,837","(+/-1,474)","9,739","(+/-1,640)"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 or more","16,115","(+/-1,933)","7,039","(+/-1,220)","13,109","(+/-1,757)","12,782","(+/-1,717)","7,308","(+/-1,360)","5,774","(+/-1,222)","15,805","(+/-1,923)","10,911","(+/-1,566)","10,210","(+/-1,278)","10,630","(+/-1,558)","14,552","(+/-1,623)","10,056","(+/-1,355)","10,642","(+/-1,575)","10,665","(+/-1,582)","9,982","(+/-1,504)"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",720,(+/-32),517,(+/-16),756,(+/-28),566,(+/-14),553,(+/-14),477,(+/-9),668,(+/-14),628,(+/-17),544,(+/-13),599,(+/-17),601,(+/-20),561,(+/-15),571,(+/-18),551,(+/-15),627,(+/-18)
Housing,"Gross Rent","Occupied units paying rent","135,406","(+/-4,696)","76,738","(+/-4,440)","172,938","(+/-6,350)","78,555","(+/-4,498)","74,502","(+/-4,222)","84,407","(+/-3,968)","64,255","(+/-3,817)","84,803","(+/-5,183)","104,042","(+/-3,629)","123,698","(+/-5,136)","164,029","(+/-6,386)","73,101","(+/-3,636)","105,436","(+/-4,716)","78,175","(+/-4,299)","120,962","(+/-6,015)"
Housing,"Gross Rent","Less than $500","9,509","(+/-1,886)","10,800","(+/-1,544)","6,539","(+/-1,300)","9,985","(+/-1,750)","7,620","(+/-1,738)","11,857","(+/-1,753)","2,902",(+/-980),"4,524","(+/-1,218)","11,298","(+/-2,007)","11,456","(+/-1,785)","20,106","(+/-2,661)","8,115","(+/-1,565)","9,705","(+/-1,840)","7,683","(+/-1,619)","6,437","(+/-1,490)"
Housing,"Gross Rent","$500 to $999","50,632","(+/-5,370)","38,078","(+/-3,644)","39,917","(+/-3,911)","35,153","(+/-2,776)","41,438","(+/-3,032)","49,974","(+/-3,334)","22,210","(+/-2,394)","31,353","(+/-3,028)","52,014","(+/-3,664)","49,264","(+/-3,981)","59,553","(+/-5,368)","31,105","(+/-2,856)","49,022","(+/-4,091)","37,754","(+/-3,159)","27,174","(+/-2,703)"
Housing,"Gross Rent","$1,000 to $1,499","37,883","(+/-3,963)","22,218","(+/-2,510)","73,242","(+/-4,704)","21,222","(+/-2,257)","17,261","(+/-2,275)","18,866","(+/-2,028)","25,555","(+/-2,812)","30,307","(+/-3,820)","30,788","(+/-3,369)","42,718","(+/-3,810)","54,365","(+/-4,168)","22,982","(+/-2,486)","32,296","(+/-3,281)","23,584","(+/-2,738)","50,149","(+/-4,600)"
Housing,"Gross Rent","$1,500 to $1,999","23,889","(+/-3,092)","4,362","(+/-1,218)","35,656","(+/-3,953)","7,150","(+/-1,545)","4,769","(+/-1,290)","2,090",(+/-812),"10,512","(+/-1,761)","12,302","(+/-2,304)","7,313","(+/-1,364)","14,845","(+/-2,441)","20,491","(+/-2,569)","7,215","(+/-1,726)","9,831","(+/-2,131)","6,302","(+/-1,839)","26,859","(+/-3,139)"
Housing,"Gross Rent","$2,000 to $2,499","9,004","(+/-2,506)",812,(+/-591),"13,102","(+/-2,407)","2,063",(+/-862),"1,912",(+/-836),570,(+/-423),"1,662",(+/-852),"4,158","(+/-1,666)","1,844",(+/-807),"4,050","(+/-1,145)","5,954","(+/-1,513)","2,798",(+/-773),"2,746",(+/-941),"1,479",(+/-661),"7,490","(+/-1,710)"
Housing,"Gross Rent","$2,500 to $2,999","2,416","(+/-1,076)",79,(+/-146),"1,908",(+/-861),"1,801",(+/-875),96,(+/-114),525,(+/-376),286,(+/-194),834,(+/-597),151,(+/-177),701,(+/-487),"1,744",(+/-555),503,(+/-472),475,(+/-269),459,(+/-430),"1,440",(+/-562)
Housing,"Gross Rent","$3,000 or more","2,073",(+/-601),389,(+/-221),"2,574",(+/-876),"1,181",(+/-514),"1,406",(+/-695),525,(+/-330),"1,128",(+/-541),"1,325",(+/-874),634,(+/-357),664,(+/-359),"1,816",(+/-772),383,(+/-253),"1,361",(+/-649),914,(+/-573),"1,413",(+/-565)
Housing,"Gross Rent","Median (dollars)","1,080",(+/-45),875,(+/-23),"1,241",(+/-25),943,(+/-22),863,(+/-28),799,(+/-20),"1,111",(+/-31),"1,087",(+/-33),908,(+/-23),"1,011",(+/-35),"1,017",(+/-28),962,(+/-36),955,(+/-22),932,(+/-24),"1,268",(+/-37)
Housing,"Gross Rent","No rent paid","3,951","(+/-1,341)","9,463","(+/-1,729)","4,187","(+/-1,400)","4,289",(+/-967),"5,287","(+/-1,186)","8,058","(+/-1,304)","4,599","(+/-1,439)","3,829","(+/-1,091)","4,425","(+/-1,283)","4,407","(+/-1,046)","5,527","(+/-1,086)","5,737","(+/-1,066)","2,765",(+/-912),"5,685","(+/-1,147)","3,774","(+/-1,444)"
Socioeconomic,"Income and Benefits (In 2023 inflation-adjusted dollars)","Total households","337,195","(+/-4,369)","318,330","(+/-3,025)","337,715","(+/-6,056)","317,894","(+/-3,372)","323,312","(+/-3,437)","333,103","(+/-4,609)","317,645","(+/-4,834)","311,076","(+/-4,283)","335,877","(+/-3,157)","339,246","(+/-2,949)","354,317","(+/-5,830)","304,104","(+/-2,811)","335,536","(+/-4,131)","329,557","(+/-3,509)","322,402","(+/-5,739)"
Socioeconomic,"Income and Benefits (In 2023 inflation-adjusted dollars)","Less than $10,000","21,420","(+/-2,795)","18,782","(+/-2,467)","24,286","(+/-2,648)","12,186","(+/-2,174)","12,305","(+/-1,794)","20,877","(+/-2,415)","12,243","(+/-1,917)","15,451","(+/-2,307)","19,854","(+/-2,366)","21,640","(+/-2,406)","34,986","(+/-3,622)","15,648","(+/-2,144)","19,369","(+/-2,673)","15,282","(+/-2,254)","13,409","(+/-2,174)"
Socioeconomic,"Income and Benefits (In 2023 inflation-adjusted dollars)","$10,000 to $14,999","12,470","(+/-2,132)","13,532","(+/-1,959)","11,580","(+/-2,355)","9,310","(+/-1,351)","14,174","(+/-2,365)","16,009","(+/-2,239)","6,883","(+/-1,450)","8,504","(+/-1,772)","14,699","(+/-2,082)","15,072","(+/-2,063)","21,052","(+/-2,638)","10,096","(+/-1,442)","10,933","(+/-1,911)","13,202","(+/-2,061)","8,738","(+/-1,772)"
