Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE"
"Source: 2023 American Community Survey 1-Year Estimates"
"Estimates in the People, Workers, Housing, Socioeconomic, and Education tabs are from the American Community Survey (ACS). The ACS is an annual household survey developed by the U.S. Census Bureau to replace the long form of the decennial census program. Each year, the ACS samples about 3.5 million household addresses to produce nearly 11 billion estimates covering demographic, social, economic, and housing characteristics."
"Except where noted, 'race' refers to people reporting only one race.  'Hispanic' refers to an ethnic category;  Hispanics may be of any race."
"An '-' The estimate could not be computed because there were an insufficient number of sample observations. For a ratio of medians estimate, one or both of the median estimates falls in the lowest interval or highest interval of an open-ended distribution. For a 5-year median estimate, the margin of error associated with a median was larger than the median itself."
"median- The median falls in the lowest interval of an open-ended distribution (for example '2,500-')"
"median+ The median falls in the highest interval of an open-ended distribution (for example '250,000+')"
"An '**' The margin of error could not be computed because there were an insufficient number of sample observations."
"An '***' The margin of error could not be computed because the median falls in the lowest interval or highest interval of an open-ended distribution. "
"An '*****' A margin of error is not appropriate because the corresponding estimate is controlled to an independent population or housing estimate. Effectively, the corresponding estimate has no sampling error and the margin of error may be treated as zero. "
"An 'N' The estimate or margin of error cannot be displayed because there were an insufficient number of sample cases in the selected geographic area."
"An '(X)' The estimate or margin of error is not applicable or not available.  "
"If calculating a percentage, use the total population line within the section as the denominator. Do not use total population lines from other sections since these may have different universes."

Topic,Subject,Title,"District 01 Estimate","District 01 Flag","District 02 Estimate","District 02 Flag","District 03 Estimate","District 03 Flag","District 04 Estimate","District 04 Flag","District 05 Estimate","District 05 Flag","District 06 Estimate","District 06 Flag","District 07 Estimate","District 07 Flag"
Business,"Paid employees for pay period including March 12","Total for all sectors","241,570",G,"213,711",G,"183,438",G,"200,842",G,"281,710",G,"254,921",G,"326,365",G
Business,"Paid employees for pay period including March 12","Agriculture, forestry, fishing and hunting",973,G,"1,479",G,788,G,552,G,120,J,362,G,"1,227",G
Business,"Paid employees for pay period including March 12","Mining, quarrying, and oil and gas extraction",434,G,158,G,532,H,509,G,247,J,504,G,"2,419",G
Business,"Paid employees for pay period including March 12",Utilities,"1,633",G,"2,924",G,"1,062",H,826,H,151,J,"4,378",J,"2,958",J
Business,"Paid employees for pay period including March 12",Construction,"20,154",G,"10,137",G,"9,176",G,"9,260",G,"15,410",G,"19,427",G,"16,211",G
Business,"Paid employees for pay period including March 12",Manufacturing,"24,363",G,"28,555",G,"42,585",G,"53,739",G,"47,947",G,"16,427",G,"54,042",G
Business,"Paid employees for pay period including March 12","Wholesale trade","11,849",G,"10,059",G,"5,553",G,"7,612",G,"8,127",G,"12,471",G,"18,615",G
Business,"Paid employees for pay period including March 12","Retail trade","37,116",G,"34,277",G,"28,661",G,"31,022",G,"34,230",G,"37,310",G,"30,233",G
Business,"Paid employees for pay period including March 12","Transportation and warehousing","13,226",G,"9,731",G,"8,767",G,"7,117",H,"8,258",G,"6,394",G,"17,793",G
Business,"Paid employees for pay period including March 12",Information,"2,845",G,"2,494",H,"1,943",H,"2,323",H,"5,341",G,"6,714",G,"6,544",G
Business,"Paid employees for pay period including March 12","Finance and insurance","7,585",G,"6,913",G,"4,463",G,"6,266",G,"6,750",H,"21,474",G,"16,906",H
Business,"Paid employees for pay period including March 12","Real estate and rental and leasing","5,691",G,"2,794",G,"2,004",G,"1,946",H,"2,895",G,"4,321",G,"5,836",G
Business,"Paid employees for pay period including March 12","Professional, scientific, and technical services","12,416",G,"9,156",G,"4,936",G,"4,571",G,"51,285",G,"13,772",G,"13,633",G
Business,"Paid employees for pay period including March 12","Management of companies and enterprises","3,080",G,"1,796",G,387,H,"1,853",H,"1,446",G,"8,495",G,"4,697",G
Business,"Paid employees for pay period including March 12","Administrative and support and waste management and remediation services","19,163",H,"14,870",G,"12,094",G,"9,734",G,"13,053",G,"20,288",G,"19,612",G
Business,"Paid employees for pay period including March 12","Educational services","4,468",H,"3,151",G,"2,908",H,970,G,"3,809",H,"1,942",G,"6,108",G
Business,"Paid employees for pay period including March 12","Health care and social assistance","31,752",G,"34,738",G,"25,630",G,"32,217",G,"41,734",H,"34,518",G,"64,329",H
Business,"Paid employees for pay period including March 12","Arts, entertainment, and recreation","3,073",G,"2,594",G,"1,560",G,"1,089",G,"3,597",G,"4,978",G,"2,546",G
Business,"Paid employees for pay period including March 12","Accommodation and food services","30,502",G,"27,254",G,"22,610",G,"21,009",G,"26,272",G,"27,183",G,"26,705",G
Business,"Paid employees for pay period including March 12","Other services (except public administration)","11,233",G,"10,613",G,"7,775",G,"8,212",G,"11,023",G,"13,935",G,"15,906",G
Business,"Paid employees for pay period including March 12","Industries not classified",14,J,18,G,4,G,15,J,15,J,28,J,45,J
Business,"Annual payroll ($1,000)","Total for all sectors","12,199,454",G,"9,510,582",G,"7,924,117",G,"8,857,551",G,"16,904,996",G,"15,226,295",G,"19,615,833",G
Business,"Annual payroll ($1,000)","Agriculture, forestry, fishing and hunting","45,564",G,"83,164",G,"35,515",G,"24,575",G,"5,978",H,"24,999",G,"70,089",G
Business,"Annual payroll ($1,000)","Mining, quarrying, and oil and gas extraction","32,460",G,"9,922",G,"36,603",J,"34,698",G,"16,838",J,"33,826",H,"263,476",G
Business,"Annual payroll ($1,000)",Utilities,"158,382",H,"318,881",H,"98,186",H,"78,593",H,"16,529",J,"586,133",J,"330,240",J
Business,"Annual payroll ($1,000)",Construction,"1,101,479",G,"581,953",G,"556,031",G,"488,920",G,"951,900",G,"1,371,000",G,"1,103,977",G
Business,"Annual payroll ($1,000)",Manufacturing,"1,899,339",G,"1,496,023",G,"2,435,951",G,"2,751,140",G,"3,376,495",G,"1,038,070",G,"3,786,818",H
Business,"Annual payroll ($1,000)","Wholesale trade","803,375",G,"638,010",G,"318,139",G,"399,677",G,"585,424",G,"1,118,893",G,"1,317,394",G
Business,"Annual payroll ($1,000)","Retail trade","1,247,384",G,"1,105,903",G,"895,205",G,"990,457",G,"1,182,825",G,"1,300,774",G,"987,632",G
Business,"Annual payroll ($1,000)","Transportation and warehousing","643,043",G,"459,680",G,"375,123",G,"411,083",H,"515,646",H,"348,843",G,"953,513",G
Business,"Annual payroll ($1,000)",Information,"171,364",G,"135,676",G,"105,681",G,"154,608",J,"393,697",G,"557,570",G,"561,451",H
Business,"Annual payroll ($1,000)","Finance and insurance","656,541",G,"483,308",G,"276,477",G,"383,306",G,"497,646",H,"2,152,671",G,"1,658,797",H
Business,"Annual payroll ($1,000)","Real estate and rental and leasing","323,082",G,"134,320",G,"92,648",G,"82,187",G,"158,623",G,"402,416",H,"314,851",G
Business,"Annual payroll ($1,000)","Professional, scientific, and technical services","947,829",G,"606,454",G,"255,005",G,"272,301",G,"5,204,283",G,"1,125,157",G,"1,241,285",G
Business,"Annual payroll ($1,000)","Management of companies and enterprises","360,896",G,"153,548",G,"40,065",H,"211,436",G,"179,568",H,"952,790",G,"644,605",H
Business,"Annual payroll ($1,000)","Administrative and support and waste management and remediation services","814,216",H,"491,225",G,"367,536",G,"344,633",G,"528,215",G,"995,917",G,"704,535",G
Business,"Annual payroll ($1,000)","Educational services","161,675",H,"104,938",G,"98,097",H,"20,447",G,"132,381",H,"68,326",G,"211,618",H
Business,"Annual payroll ($1,000)","Health care and social assistance","1,730,338",G,"1,790,990",G,"1,258,035",G,"1,565,609",G,"2,169,784",H,"1,925,763",G,"4,130,220",H
Business,"Annual payroll ($1,000)","Arts, entertainment, and recreation","75,134",G,"51,030",G,"39,725",G,"23,623",G,"71,758",G,"132,822",G,"63,669",H
Business,"Annual payroll ($1,000)","Accommodation and food services","678,730",G,"526,956",G,"415,463",G,"382,997",G,"542,311",G,"596,336",G,"564,105",G
Business,"Annual payroll ($1,000)","Other services (except public administration)","347,948",G,"338,220",G,"224,449",G,"236,214",G,"374,851",G,"492,995",G,"706,206",H
Business,"Annual payroll ($1,000)","Industries not classified",675,G,381,H,183,G,"1,047",H,244,J,994,H,"1,352",H
Business,"Total Establishments","Total for all sectors","16,616",X,"14,601",X,"12,489",X,"13,337",X,"15,298",X,"16,329",X,"15,700",X
Business,"Total Establishments","Agriculture, forestry, fishing and hunting",127,X,165,X,129,X,119,X,31,X,45,X,159,X
Business,"Total Establishments","Mining, quarrying, and oil and gas extraction",28,X,16,X,16,X,34,X,18,X,32,X,40,X
Business,"Total Establishments",Utilities,41,X,53,X,52,X,41,X,11,X,37,X,44,X
Business,"Total Establishments",Construction,"1,576",X,"1,172",X,"1,076",X,"1,082",X,"1,250",X,"1,520",X,"1,034",X
Business,"Total Establishments",Manufacturing,548,X,510,X,601,X,762,X,643,X,457,X,624,X
Business,"Total Establishments","Wholesale trade",844,X,618,X,442,X,549,X,634,X,914,X,872,X
Business,"Total Establishments","Retail trade","2,791",X,"2,657",X,"2,318",X,"2,608",X,"2,463",X,"2,407",X,"2,606",X
Business,"Total Establishments","Transportation and warehousing",668,X,523,X,448,X,512,X,396,X,402,X,680,X
Business,"Total Establishments",Information,263,X,253,X,206,X,197,X,250,X,302,X,319,X
Business,"Total Establishments","Finance and insurance","1,108",X,"1,060",X,843,X,976,X,950,X,"1,314",X,957,X
Business,"Total Establishments","Real estate and rental and leasing","1,028",X,626,X,533,X,460,X,811,X,913,X,659,X
Business,"Total Establishments","Professional, scientific, and technical services","1,463",X,"1,144",X,870,X,868,X,"1,894",X,"1,816",X,"1,502",X
Business,"Total Establishments","Management of companies and enterprises",87,X,70,X,41,X,55,X,52,X,139,X,105,X
Business,"Total Establishments","Administrative and support and waste management and remediation services",888,X,702,X,628,X,498,X,760,X,875,X,640,X
Business,"Total Establishments","Educational services",151,X,149,X,97,X,69,X,160,X,190,X,149,X
Business,"Total Establishments","Health care and social assistance","1,520",X,"1,550",X,"1,246",X,"1,580",X,"1,866",X,"1,750",X,"1,695",X
Business,"Total Establishments","Arts, entertainment, and recreation",223,X,191,X,133,X,144,X,206,X,253,X,194,X
Business,"Total Establishments","Accommodation and food services","1,539",X,"1,488",X,"1,320",X,"1,249",X,"1,404",X,"1,334",X,"1,577",X
Business,"Total Establishments","Other services (except public administration)","1,709",X,"1,640",X,"1,480",X,"1,520",X,"1,489",X,"1,611",X,"1,823",X
Business,"Total Establishments","Industries not classified",14,X,14,X,10,X,14,X,10,X,18,X,21,X

"Source: 2022 County Business Patterns for Congressional Districts"
"1. CBP data includes the number of establishments, employment during the week of March 12, and annual payroll. CBP basic data are extracted from the Business Register (BR), a database of all known single and multi-establishment employer companies maintained and updated by the U.S. Census Bureau. Primary causes of differences between CBP employment estimates and ACS estimates: CBP does not cover the self-employed, public employment, and most agricultural employment; CBP estimates are not based on a sample survey; they represent business location as opposed to workers' residence in the district; use the week of March 12 as a reference period; and use a business source to determine industry."
"2. Industries not classified - Industry could not be determined."
"3. Statewide - County Business Patterns data includes employers without a fixed location within a state (or of unknown county location), these are included under a 'statewide' classification. Statewide cases are not included in any particular congressional district (though they would be included in at-large districts). This incomplete detail causes only a slight understatement of a district's total estimates."
"4. Disclosure and Quality Indicator Flag Definitions:"
"G Cell value changed by less than 2 percent by the application of noise"
"H Cell value changed by at least 2 percent but less than 5 percent by the application of noise"
"J Cell value changed by 5 percent or more by the application of noise"
"N Not available or not comparable"
"S Cell value withheld because it did not meet publication standards"
"X Not applicable"
